Unnamed: 0,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,hanaa_nm,automatic_ind,delek_cd,fieldprice_equ,n_model
10,מזדה,323_לאנטיס,,2002,4,5,0,1,0.0,שנתיים,0,1998,קדמית,אוטומטית,4,בנזין,4,1598,105,5500,14.0,3600,12.800000190734865,171.0,0.0,0.0,11.8,0,0,0,0,0,0.0,אין ציון,ABS,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.5,170.5,141.0,261.0,416.0,0.0,1170,0,0,185/65R14,55.0,לא מקורית,0,0,0,0.0,0,0,0,0,0,2,מזגן רגיל,0,אופציונלי,ללא,בד,0,0,0,רגילים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,['5']
11,מזדה,323_לאנטיס,,2000,4,5,0,1,0.0,שנתיים,0,1998,קדמית,אוטומטית,4,בנזין,4,1598,109,5500,14.0,3600,12.800000190734865,171.0,0.0,0.0,11.8,0,0,0,0,0,0.0,אין ציון,ABS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.5,170.5,141.0,261.0,416.0,0.0,1170,0,0,185/65R14,55.0,לא מקורית,0,0,0,0.0,0,0,0,0,0,2,מזגן רגיל,0,אופציונלי,ללא,בד,0,0,0,רגילים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,['5']
12,מזדה,323_לאנטיס,,2004,4,5,0,1,0.0,שנתיים,0,1998,קדמית,אוטומטית,4,בנזין,4,1598,105,5500,14.0,3600,12.800000190734865,171.0,0.0,0.0,11.8,0,0,0,0,0,0.0,אין ציון,ABS,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.5,170.5,141.0,261.0,416.0,0.0,1170,0,0,185/65R14,55.0,לא מקורית,0,0,0,0.0,0,0,0,0,0,2,מזגן רגיל,0,אופציונלי,ללא,בד,0,0,0,רגילים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,['5']
13,מזדה,323_לאנטיס,,1999,4,5,0,1,0.0,שנתיים,0,1998,קדמית,אוטומטית,4,בנזין,4,1598,109,5500,14.0,3600,12.800000190734865,171.0,0.0,0.0,11.8,0,0,0,0,0,0.0,אין ציון,ABS,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,436.5,170.5,141.0,261.0,416.0,0.0,1170,0,0,185/65R14,55.0,לא מקורית,0,0,0,0.0,0,0,0,0,0,2,מזגן רגיל,0,אופציונלי,ללא,בד,0,0,0,רגילים,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,רגילים,0,0,2X4,1,1,0,['5']
14,מזדה,CX5,PREMIUM,2022,5,5,"207,900",5,5156.0,שלוש שנים,אחודה,2016,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.399999618530273,4000,10.100000381469727,189.0,0.0,0.0,12.8,0,0,0,0,0,13.0,13.0,ABS + EBD + BAS,6,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,1,0,1,0,0,0,תאורה אדפטיבית,457.5,184.5,166.0,270.0,438.0,0.0,1594,750,1500,225/55R19,56.0,מקורית + שליטה מההגה,1,0,1,8.0,0,USB,Android Auto + Apple CarPlay,1,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,עור,יש  + זכרון,0,0,LED עם מנגנון הפניה בסיבוב,1,1,1,אחוריים + קדמיים,היקפיות + מבט על,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,0,1,1,יש + Auto Hold,0,0,רגילים,1,"חלונות אחוריים כהים, מסך 7 אינץ' בלוח המחוונים, צביעה שחורה לבתי גלגלים, ספי הדלתות, פגוש קדמי תחתון, פגוש אחורי, מראות צד ולסבכה הקדמית, יציאות מפלט מוגדלות, חישוקים מושחרים, מערכת שמע מבית Bose עם 10 רמקולים, תפרים אדומים בתא הנוסעים, אוורור למושבי הנהג והנוסע",2X4,1,1,0,['5']
15,מזדה,CX5,SIGNATURE,2022,5,5,"233,900",6,5801.0,שלוש שנים,אחודה,2016,כפולה (4X4),אוטומטית - טיפטרוניק,6,בנזין,4,2488,195,6000,26.29999923706055,4000,9.0,199.0,0.0,0.0,11.2,0,0,0,0,0,14.0,14.0,ABS + EBD + BAS,6,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,1,1,1,0,0,0,תאורה אדפטיבית,457.5,184.5,166.0,270.0,438.0,0.0,1685,750,1500,225/55R19,58.0,מקורית + שליטה מההגה,1,0,1,8.0,0,USB,Android Auto + Apple CarPlay,1,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,עור,יש  + זכרון,0,0,LED עם מנגנון הפניה בסיבוב,1,1,1,אחוריים + קדמיים,היקפיות + מבט על,0,1,0,1,כניסה + הנעה,1,מראות פנים,1,0,1,1,1,יש + Auto Hold,0,0,רגילים,יש - ללא מגע,"חלונות אחוריים כהים, מסך 7 אינץ' בלוח המחוונים, צבע הרכב לבתי גלגלים, ספי הדלתות, פגוש קדמי תחתון, פגוש אחורי ולמראות הצד, סבכה קדמית בגימור כרום, יציאות מפלט מוגדלות, חישוקים מושחרים, מערכת שמע מבית Bose עם 10 רמקולים, תפרים אדומים בתא הנוסעים, אוורור למושבי הנהג והנוסע, עור נאפה בגוון חום, הגה בגימורים יחודיים, גימור פנים עץ, מראה מרכזית ללא מסגרת, מצב נהיגה Off Road, אפל קארפליי אלחוטי",4X4,1,1,0,['5']
16,מזדה,CX5,EXECUTIVE,2022,5,5,"185,900",5,4611.0,שלוש שנים,אחודה,2016,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,2488,195,6000,26.29999923706055,4000,8.899999618530273,201.0,0.0,0.0,12.2,0,0,0,0,0,14.0,14.0,ABS + EBD + BAS,6,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,0,1,0,0,0,תאורה אדפטיבית,457.5,184.5,166.0,270.0,438.0,0.0,1626,750,1500,225/55R19,58.0,מקורית + שליטה מההגה,1,0,1,8.0,0,USB,Android Auto + Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,עור,יש - לנהג בלבד,0,0,LED עם מנגנון הפניה בסיבוב,1,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,1,1,1,יש + Auto Hold,0,0,רגילים,0,"חלונות אחוריים כהים, מסך 7 אינץ' בלוח המחוונים",2X4,1,1,0,['5']
17,מזדה,CX5,PURE,2022,5,5,"187,900",5,4660.0,שלוש שנים,אחודה,2016,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.399999618530273,4000,10.100000381469727,189.0,0.0,0.0,12.8,0,0,0,0,0,13.0,13.0,ABS + EBD + BAS,6,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,0,1,0,0,0,תאורה אדפטיבית,457.5,184.5,166.0,270.0,438.0,0.0,1594,750,1500,225/55R19,56.0,מקורית + שליטה מההגה,1,0,1,8.0,0,USB,Android Auto + Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,עור,יש  + זכרון,0,0,LED עם מנגנון הפניה בסיבוב,1,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,0,1,1,יש + Auto Hold,0,0,רגילים,0,"חלונות אחוריים כהים, מסך 7 אינץ' בלוח המחוונים, צביעה שחורה לבתי גלגלים, ספי הדלתות, פגוש קדמי תחתון, פגוש אחורי, מראות צד ולסבכה הקדמית, יציאות מפלט מוגדלות, חישוקים מושחרים, מערכת שמע מבית Bose עם 10 רמקולים, תפרים אדומים בתא הנוסעים",2X4,1,1,0,['5']
18,מזדה,CX5,EXECUTIVE,2022,5,5,"175,900",5,4363.0,שלוש שנים,אחודה,2016,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.399999618530273,4000,10.100000381469727,189.0,0.0,0.0,12.8,0,0,0,0,0,13.0,13.0,ABS + EBD + BAS,6,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,0,1,0,0,0,תאורה אדפטיבית,457.5,184.5,166.0,270.0,438.0,0.0,1594,750,1500,225/55R19,56.0,מקורית + שליטה מההגה,1,0,1,8.0,0,USB,Android Auto + Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,עור,יש - לנהג בלבד,0,0,LED עם מנגנון הפניה בסיבוב,1,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,0,1,1,יש + Auto Hold,0,0,רגילים,0,"חלונות אחוריים כהים, מסך 7 אינץ' בלוח המחוונים",2X4,1,1,0,['5']
19,מזדה,CX5,PREMIUM,2022,5,5,"217,900",5,5404.0,שלוש שנים,אחודה,2016,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,2488,195,6000,26.29999923706055,4000,8.899999618530273,201.0,0.0,0.0,12.2,0,0,0,0,0,14.0,14.0,ABS + EBD + BAS,6,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,1,0,1,0,0,0,תאורה אדפטיבית,457.5,184.5,166.0,270.0,438.0,0.0,1626,750,1500,225/55R19,58.0,מקורית + שליטה מההגה,1,0,1,8.0,0,USB,Android Auto + Apple CarPlay,1,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,עור,יש  + זכרון,0,0,LED עם מנגנון הפניה בסיבוב,1,1,1,אחוריים + קדמיים,היקפיות + מבט על,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,1,1,1,יש + Auto Hold,0,0,רגילים,1,"חלונות אחוריים כהים, מסך 7 אינץ' בלוח המחוונים, צביעה שחורה לבתי גלגלים, ספי הדלתות, פגוש קדמי תחתון, פגוש אחורי, מראות צד ולסבכה הקדמית, יציאות מפלט מוגדלות, חישוקים מושחרים, מערכת שמע מבית Bose עם 10 רמקולים, תפרים אדומים בתא הנוסעים, אוורור למושבי הנהג והנוסע",2X4,1,1,0,['5']
20,מזדה,CX5,COMFORT,2022,5,5,"169,900",4,4214.0,שלוש שנים,אחודה,2016,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.399999618530273,4000,10.100000381469727,189.0,0.0,0.0,12.8,0,0,0,0,0,13.0,13.0,ABS + EBD + BAS,6,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,0,0,0,0,1,0,0,0,תאורה אדפטיבית,457.5,184.5,166.0,270.0,438.0,0.0,1594,750,1500,225/55R19,56.0,מקורית + שליטה מההגה,1,0,1,8.0,0,USB,Android Auto + Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,0,1,כולל שמירת מרחק,עור,יש - לנהג בלבד,0,0,LED עם מנגנון הפניה בסיבוב,0,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,0,1,1,יש + Auto Hold,0,0,רגילים,0,חלונות אחוריים כהים,2X4,1,1,0,['5']
21,מזדה,CX5,PURE,2022,5,5,"197,900",5,4908.0,שלוש שנים,אחודה,2016,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,2488,195,6000,26.29999923706055,4000,8.899999618530273,201.0,0.0,0.0,12.2,0,0,0,0,0,14.0,14.0,ABS + EBD + BAS,6,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,0,1,0,0,0,תאורה אדפטיבית,457.5,184.5,166.0,270.0,438.0,0.0,1626,750,1500,225/55R19,58.0,מקורית + שליטה מההגה,1,0,1,8.0,0,USB,Android Auto + Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,עור,יש  + זכרון,0,0,LED עם מנגנון הפניה בסיבוב,1,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,1,1,1,יש + Auto Hold,0,0,רגילים,0,"חלונות אחוריים כהים, מסך 7 אינץ' בלוח המחוונים, צביעה שחורה לבתי גלגלים, ספי הדלתות, פגוש קדמי תחתון, פגוש אחורי, מראות צד ולסבכה הקדמית, יציאות מפלט מוגדלות, חישוקים מושחרים, מערכת שמע מבית Bose עם 10 רמקולים, תפרים אדומים בתא הנוסעים",2X4,1,1,0,['5']
22,מזדה,CX5,ACTIVE,2022,5,5,"177,900",5,4412.0,שלוש שנים,אחודה,2016,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.399999618530273,4000,10.100000381469727,189.0,0.0,0.0,12.8,0,0,0,0,0,13.0,13.0,ABS + EBD + BAS,6,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,0,1,0,0,0,תאורה אדפטיבית,457.5,184.5,166.0,270.0,438.0,0.0,1594,750,1500,225/55R19,56.0,מקורית + שליטה מההגה,1,0,1,8.0,0,USB,Android Auto + Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,עור,יש - לנהג בלבד,0,0,LED עם מנגנון הפניה בסיבוב,1,1,1,0,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,1,0,0,1,1,יש + Auto Hold,0,0,רגילים,0,"חלונות אחוריים כהים, מסך 7 אינץ' בלוח המחוונים, גימורים כסופים בפגוש הקדמי, האחורי ובספי הדלתות, מראות צד בצבע שחור, ריפוד עור בדוגמה ייחודית, גימור ירוק-ליים בפתחי המיזוג",2X4,1,1,0,['5']
23,מזדה,3.0,SPIRIT,2020,4,5,0,3,0.0,0,0,2019,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.700000762939453,4000,8.5,208.0,14.0,18.6,16.6,0,0,0,0,0,9.0,9.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,1,1,0,0,0,תאורה אדפטיבית,466.0,179.5,144.0,272.5,444.0,0.0,1454,600,1300,215/45R18,51.0,מקורית + שליטה מההגה,1,0,1,8.8,0,USB,Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,בד,0,0,0,LED עם מנגנון הפניה בסיבוב,0,1,1,0,אחורית,0,1,1,0,כניסה + הנעה,1,מראות פנים,1,0,1,0,1,יש + Auto Hold,0,0,רגילים,0,פנסים אחוריים Led,2X4,1,1,"צבע אדום עשיר, צבע אפור עשיר",['5']
24,מזדה,3.0,COMFORT,2020,4,5,0,3,3423.0,0,0,2019,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.700000762939453,4000,8.5,208.0,14.0,18.6,16.6,0,0,0,0,0,9.0,9.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,1,1,0,0,0,0,466.0,179.5,144.0,272.5,444.0,0.0,1454,600,1300,205/60R16,51.0,מקורית + שליטה מההגה,1,0,1,8.8,0,USB,Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,0,1,כולל שמירת מרחק,בד,0,0,0,LED,0,1,1,0,אחורית,0,1,1,0,הנעה בלבד,1,0,1,0,0,0,1,יש + Auto Hold,0,0,רגילים,0,0,2X4,1,1,"צבע אדום עשיר, צבע אפור עשיר",['5']
25,מזדה,3.0,SPIRIT,2021,4,5,0,4,0.0,0,0,2019,קדמית,אוטומטית - טיפטרוניק,6,בנזין,4,1998,165,6000,21.700000762939453,4000,8.5,208.0,0.0,0.0,13.8,0,0,0,0,0,11.0,11.0,ABS + EBD + BAS,7,1,1,1,1,1,1,1,0,1,היגוי אקטיבי,התרעה בלבד,1,0,1,1,0,0,0,תאורה אדפטיבית,466.0,179.5,144.0,272.5,444.0,0.0,1454,600,1300,215/45R18,51.0,מקורית + שליטה מההגה,1,0,1,8.8,0,USB,Apple CarPlay,0,0,4,בקרת אקלים + פתחי איוורור מאחור,1,1,כולל שמירת מרחק,בד,0,0,0,LED עם מנגנון הפניה בסיבוב,0,1,1,0,אחורית,0,1,1,0,כניסה + הנעה,1,מראות פנים,1,0,1,0,1,יש + Auto Hold,0,0,רגילים,0,פנסים אחוריים Led,2X4,1,1,"צבע אדום עשיר, צבע אפור עשיר",['5']
