	make	model	ramat_gimur	fieldyear	fielddoors	fieldsitting	fieldprice	fieldgroupy	fieldcontinous_value	fieldguarantee	fieldchassis	fieldlaunch	fieldignition	fieldgearbox	fieldgear	fieldengine	fieldpiston	fieldcapacity	fieldpower	fieldloops	fieldmoment	fieldloopmoment	fieldattitude	fielddifferential	fieldpulling	fieldacceleration	fieldspeed	fieldurban_consumption	fieldintercity_consumption	fieldconsumption	fieldelectricity_use	fieldbattery_capacity	fieldelectric_range	fieldhome_charging_time	fieldfast_charging_time	fieldpollution	fieldbreaking	fieldbrake	fieldairbag	fieldstability	fieldcenairbag	fieldizofix	fieldpressure_sensor	fieldbelt_warning	fieldautonomous_braking	fieldpedestrian_identification	fieldtwo_wheeler_identification	fieldadaptive_cruise_control	fieldlane_assist	fieldblind_spot	fieldrear_traffic	fieldrear_traffic_braking	fieldalert_fatigue	fieldhigh_beam_assist	fieldtraffic_sign_recognition	fieldcrossing_warning_open_door	fieldchild_rear_seat	fieldadditional_safety_equipment	fieldlength	fieldwidth	fieldheight	fieldwheel	fieldcargo	fieldchaircargo	fieldselfweight	fieldtowing_without_brakes	fieldtowing_with_brakes	fieldtire	fieldfuel	fieldbelly	fieldcapproach	fieldcabandonment	fieldaudio	fieldbluetooth	fielddisc_changer	fieldtouch_screen	fieldscreen_size	fieldgps	fieldaudio_connections	fieldconnectivity	fieldwireless_charging	fieldseat_screens	fieldwindows	fieldairconditioning	fieldsunroof	fieldhook	fieldrowing	fieldupholstery	fieldautochair	fieldhotchair	fieldmassage_seats	fieldlight	fieldfog	fieldrain	fielddark	fieldparking_sensors	fieldparking_camers	fieldautomatic_parking	fieldcomputer	fielddigital_cluster	fieldhead_up_display	fieldwithout_key	fieldfolding_mirrors	fieldinside_mirror	fieldleather	fieldheated_steering_wheel	fieldpaddle_shifters	fielddriving_mode	fieldstop_start	fieldelectric_handbrake	fieldambient_light	fieldhill_assist	fieldsuspension_dampers	fieldelectric_tailgate	fieldmore_equ	fieldprice_equ
10	קיה	סול		2018	5	5	--	4	3569	--		2010	קדמית	אוטומטית - רובוטית כפולת מצמדים	7	טורבו דיזל	4	1582	136	4000	30.6	1750				11.2	180	13.5	20	16.9	--	--	--	--	--	11		ABS + EBD + BAS	6	יש	יש	יש	יש	יש	--	--	--	אין	--	--	--	--	--	--	--	--	--	--	412.0	178.5	166.0	255.0	354	994	1406	--	--	205/60R16	54				מקורית + שליטה מההגה	יש	אין	יש	--	אין	כונן קשיח + USB+ AUX	--	--	אין	4	מזגן רגיל	אין	יש	יש	בד	אין	אין	--	רגילים	יש	אין	יש	אין	אחורית	אין	יש	--	--	אין	אין	אין	אין	--	--	--	--	--	--	--	--	--	--	--
11	קיה	סול		2016	5	5	--	3	3321	--		2013	קדמית	אוטומטית - טיפטרוניק	6	בנזין	4	1591	132	6300	16.4	4850				--	--	10.4	15.3	13.1	--	--	--	--	--	13		ABS + EBD + BAS	6	יש	יש	יש	יש	יש	--	--	--	אין	--	--	--	--	--	--	--	--	--	--	414.0	180.0	161.8	257.0	354	994	1320	--	--	235/45R18	54				מקורית + שליטה מההגה	יש	אין	יש	--	אין	כונן קשיח + USB+ AUX	--	--	אין	4	בקרת אקלים	גג שמש פנוראמי	יש	יש	בד	אין	אין	--	רגילים	יש	אין	יש	אין	אחורית	אין	יש	--	--	אין	יש	אין	יש	--	--	--	--	--	--	--	--	--	--	--
12	קיה	סול		2014	5	5	--	2	--	--		2013	קדמית	אוטומטית - טיפטרוניק	6	בנזין	4	1591	132	6300	16.4	4850				--	--	10.4	15.3	13.1	--	--	--	--	--	12		ABS + EBD + BAS	6	יש	יש	יש	יש	יש	--	--	--	אין	--	--	--	--	--	--	--	--	--	--	414.0	180.0	159.3	257.0	354	994	1320	--	--	205/60R16	54				מקורית + שליטה מההגה	יש	אין	יש	--	אין	כונן קשיח + USB+ AUX	--	--	אין	4	בקרת אקלים	אין	יש	יש	בד	אין	אין	--	רגילים	יש	אין	יש	אין	אחורית	אין	יש	--	--	אין	אין	אין	יש	--	--	--	--	--	--	--	--	--	--	--
13	קיה	סול		2015	5	5	--	3	--	--		2013	קדמית	אוטומטית - טיפטרוניק	6	בנזין	4	1591	132	6300	16.4	4850				--	--	10.4	15.3	13.1	--	--	--	--	--	13		ABS + EBD + BAS	6	יש	יש	יש	יש	יש	--	--	--	אין	--	--	--	--	--	--	--	--	--	--	414.0	180.0	161.8	257.0	354	994	1320	--	--	235/45R18	54				מקורית + שליטה מההגה	יש	אין	יש	--	אין	כונן קשיח + USB+ AUX	--	--	אין	4	בקרת אקלים	גג שמש פנוראמי	יש	יש	בד	אין	אין	--	רגילים	יש	אין	יש	אין	אחורית	אין	יש	--	--	אין	יש	אין	יש	--	--	--	--	--	--	--	--	--	--	--
14	קיה	סול		2018	5	5	--	3	3321	--		2013	קדמית	אוטומטית - טיפטרוניק	6	בנזין	4	1591	132	6300	16.4	4850				--	--	10.4	15.3	13.1	--	--	--	--	--	13		ABS + EBD + BAS	6	יש	יש	יש	יש	יש	--	--	--	אין	--	--	--	--	--	--	--	--	--	--	414.0	180.0	161.8	257.0	354	994	1320	--	--	235/45R18	54				מקורית + שליטה מההגה	יש	אין	יש	--	אין	כונן קשיח + USB+ AUX	--	--	אין	4	בקרת אקלים	גג שמש פנוראמי	יש	יש	בד	אין	אין	--	רגילים	יש	אין	יש	אין	אחורית	אין	יש	--	--	אין	יש	אין	יש	--	--	--	--	--	--	--	--	--	--	--
15	קיה	סול		2015	5	5	--	4	--	--		2010	קדמית	אוטומטית - רובוטית כפולת מצמדים	7	טורבו דיזל	4	1582	136	4000	30.6	1750				11.2	180	13.5	20	16.9	--	--	--	--	--	15		ABS + EBD + BAS	6	יש	יש	יש	יש	יש	--	--	--	אין	--	--	--	--	--	--	--	--	--	--	414.0	180.0	160.5	257.0	354	994	1406	--	--	205/60R16	54				מקורית + שליטה מההגה	יש	אין	יש	--	אין	כונן קשיח + USB+ AUX	--	--	אין	4	מזגן רגיל	אין	יש	יש	בד	אין	אין	--	רגילים	יש	אין	יש	אין	אחורית	אין	יש	--	--	אין	אין	אין	אין	--	--	--	--	--	--	--	--	--	--	--
16	קיה	סול		2017	5	5	--	4	3569	--		2010	קדמית	אוטומטית - רובוטית כפולת מצמדים	7	טורבו דיזל	4	1582	136	4000	30.6	1750				11.2	180	13.5	20	16.9	--	--	--	--	--	11		ABS + EBD + BAS	6	יש	יש	יש	יש	יש	--	--	--	אין	--	--	--	--	--	--	--	--	--	--	412.0	178.5	166.0	255.0	354	994	1406	--	--	205/60R16	54				מקורית + שליטה מההגה	יש	אין	יש	--	אין	כונן קשיח + USB+ AUX	--	--	אין	4	מזגן רגיל	אין	יש	יש	בד	אין	אין	--	רגילים	יש	אין	יש	אין	אחורית	אין	יש	--	--	אין	אין	אין	אין	--	--	--	--	--	--	--	--	--	--	--
17	קיה	סול		2015	5	5	--	2	--	--		2013	קדמית	אוטומטית - טיפטרוניק	6	בנזין	4	1591	132	6300	16.4	4850				--	--	10.4	15.3	13.1	--	--	--	--	--	13		ABS + EBD + BAS	6	יש	יש	יש	יש	יש	--	--	--	אין	--	--	--	--	--	--	--	--	--	--	414.0	180.0	159.3	257.0	354	994	1320	--	--	205/60R16	54				מקורית + שליטה מההגה	יש	אין	יש	--	אין	כונן קשיח + USB+ AUX	--	--	אין	4	בקרת אקלים	אין	יש	יש	בד	אין	אין	--	רגילים	יש	אין	יש	אין	אחורית	אין	יש	--	--	אין	אין	אין	יש	--	--	--	--	--	--	--	--	--	--	--
18	קיה	סול		2016	5	5	--	2	3098	--		2013	קדמית	אוטומטית - טיפטרוניק	6	בנזין	4	1591	132	6300	16.4	4850				--	--	10.4	15.3	13.1	--	--	--	--	--	13		ABS + EBD + BAS	6	יש	יש	יש	יש	יש	--	--	--	אין	--	--	--	--	--	--	--	--	--	--	414.0	180.0	159.3	257.0	354	994	1320	--	--	205/60R16	54				מקורית + שליטה מההגה	יש	אין	יש	--	אין	כונן קשיח + USB+ AUX	--	--	אין	4	בקרת אקלים	אין	יש	יש	בד	אין	אין	--	רגילים	יש	אין	יש	אין	אחורית	אין	יש	--	--	אין	אין	אין	יש	--	--	--	--	--	--	--	--	--	--	--
19	קיה	סול		2017	5	5	--	2	3098	--		2013	קדמית	אוטומטית - טיפטרוניק	6	בנזין	4	1591	132	6300	16.4	4850				--	--	10.4	15.3	13.1	--	--	--	--	--	13		ABS + EBD + BAS	6	יש	יש	יש	יש	יש	--	--	--	אין	--	--	--	--	--	--	--	--	--	--	414.0	180.0	159.3	257.0	354	994	1320	--	--	205/60R16	54				מקורית + שליטה מההגה	יש	אין	יש	--	אין	כונן קשיח + USB+ AUX	--	--	אין	4	בקרת אקלים	אין	יש	יש	בד	אין	אין	--	רגילים	יש	אין	יש	אין	אחורית	אין	יש	--	--	אין	אין	אין	יש	--	--	--	--	--	--	--	--	--	--	--
20	קיה	ספורטז'	Urban	2022	5	5	169,900	4	4214	שלוש שנים	אחודה	2021	קדמית	אוטומטית - רובוטית כפולת מצמדים	7	טורבו בנזין	4	1598	180	5500	27.0	1500	אין	אין	יש	8.8	201	--	--	14.2	--	--	--	--	--	11	אין ציון	ABS + EBD + BAS	7	יש	יש	יש	יש	יש	יש	יש	יש	אין	היגוי אקטיבי	היגוי אקטיבי	יש	יש	יש	יש	יש	יש	יש	--	451.5	186.5	165.0	268.0	591	1780	1558	750	1650	215/65R17	54	17.0	17.0	26.4	מקורית + שליטה מההגה	יש	אין	יש	12.3	יש	USB	Android Auto + Apple CarPlay	אין	אין	4	בקרת אקלים + פתחי איוורור מאחור	אין	יש	יש	בד	אין	אין	אין	LED	יש	יש	יש	אחוריים	אחורית	אין	יש	יש	אין	כניסה + הנעה	יש	מראות פנים	יש	אין	אין	יש	יש	יש + Auto Hold	אין	אין	רגילים	אין	מושב אחורי נע על מסילה, הנעה מרחוק, מראות צד מחוממות, פנסי ערפל לד, מסילות גג, חלונות אחוריים כהים	--
21	קיה	ספורטז'		2022	5	5	184,900	5	4586	שלוש שנים	אחודה	2021	קדמית	אוטומטית - רובוטית כפולת מצמדים	7	טורבו בנזין	4	1598	180	5500	27.0	1500	אין	אין	יש	8.8	201	--	--	13.5	--	--	--	--	--	13	אין ציון	ABS + EBD + BAS	7	יש	יש	יש	יש	יש	יש	יש	יש	יש	היגוי אקטיבי	היגוי אקטיבי	יש	יש	יש	יש	יש	יש	יש	זיהוי תנועה חוצה בפניה שמאלה כולל בלימת חירום אוטונומית	451.5	186.5	165.0	268.0	591	1780	1558	750	1650	235/55R18	54	17.0	17.0	26.4	מקורית + שליטה מההגה	יש	אין	יש	12.3	יש	USB	Android Auto + Apple CarPlay	אין	אין	4	בקרת אקלים + פתחי איוורור מאחור	גג שמש פנוראמי	יש	כולל שמירת מרחק	בד משולב עור	יש  - כוונון מלא	מלפנים	אין	LED	יש	יש	יש	אחוריים + קדמיים	אחורית	אין	יש	יש	אין	כניסה + הנעה	יש	מראות פנים	יש	יש	יש	יש	יש	יש + Auto Hold	אין	אין	רגילים	אין	מושב אחורי נע על מסילה, הנעה מרחוק, מראות צד מחוממות, פנסי ערפל לד, מסילות גג, חלונות אחוריים כהים, תאורה פנימית לד, פנסים אחוריים לד	--
22	קיה	ספורטז'	Urban	2022	5	5	174,900	5	4338	שלוש שנים	אחודה	2021	קדמית	אוטומטית - רובוטית כפולת מצמדים	7	טורבו דיזל	4	1598	136	4000	32.6	2000	אין	אין	יש	11.4	180	--	--	18.1	--	--	--	--	--	9	אין ציון	ABS + EBD + BAS	7	יש	יש	יש	יש	יש	יש	יש	יש	אין	היגוי אקטיבי	היגוי אקטיבי	יש	יש	יש	יש	יש	יש	יש	--	451.5	186.5	165.0	268.0	571	1760	1570	750	1650	215/65R17	54	17.0	17.0	26.4	מקורית + שליטה מההגה	יש	אין	יש	12.3	יש	USB	Android Auto + Apple CarPlay	אין	אין	4	בקרת אקלים + פתחי איוורור מאחור	אין	יש	יש	בד	אין	אין	אין	LED	יש	יש	יש	אחוריים	אחורית	אין	יש	יש	אין	כניסה + הנעה	יש	מראות פנים	יש	אין	אין	יש	יש	יש + Auto Hold	אין	אין	רגילים	אין	מושב אחורי נע על מסילה, הנעה מרחוק, מראות צד מחוממות, פנסי ערפל לד, מסילות גג, חלונות אחוריים כהים	--
23	קיה	ספורטז'	Premium	2022	5	5	194,900	5	4834	שלוש שנים	אחודה	2021	קדמית	אוטומטית - רובוטית כפולת מצמדים	7	טורבו בנזין	4	1598	180	5500	27.0	1500	אין	אין	יש	8.8	201	--	--	13.5	--	--	--	--	--	13	אין ציון	ABS + EBD + BAS	7	יש	יש	יש	יש	יש	יש	יש	יש	יש	היגוי אקטיבי	היגוי אקטיבי	יש	יש	יש	יש	יש	יש	יש	זיהוי תנועה חוצה בפניה שמאלה כולל בלימת חירום אוטונומית, תאורה אדפטיבית	451.5	186.5	165.0	268.0	591	1780	1558	750	1650	235/50R19	54	17.0	17.0	26.4	מקורית + שליטה מההגה	יש	אין	יש	12.3	יש	USB	Android Auto + Apple CarPlay	יש	אין	4	בקרת אקלים + פתחי איוורור מאחור	גג שמש פנוראמי	יש	כולל שמירת מרחק	עור	יש  + זכרון	מלפנים + אוורור	אין	מטריקס LED	יש	יש	יש	אחוריים + קדמיים	אחורית	אין	יש	יש	אין	כניסה + הנעה	יש	מראות פנים	הגה בלבד	יש	יש	יש	יש	יש + Auto Hold	יש	אין	רגילים	יש - ללא מגע	מושב אחורי נע על מסילה, הנעה מרחוק, מראות צד מחוממות, פנסי ערפל לד, מסילות גג, חלונות אחוריים כהים, תאורה פנימית לד, פנסים אחוריים לד, בורר הילוכים בצורת חוגה Shift by wire, גריל קדמי בגימור שחור מבריק	--
24	קיה	ספורטז'	Top	2022	5	5	179,900	5	4462	שלוש שנים	אחודה	2021	קדמית	אוטומטית - רובוטית כפולת מצמדים	7	טורבו בנזין	4	1598	180	5500	27.0	1500	אין	אין	יש	8.8	201	--	--	13.5	--	--	--	--	--	13	אין ציון	ABS + EBD + BAS	7	יש	יש	יש	יש	יש	יש	יש	יש	אין	היגוי אקטיבי	היגוי אקטיבי	יש	יש	יש	יש	יש	יש	יש	--	451.5	186.5	165.0	268.0	591	1780	1558	750	1650	215/65R17	54	17.0	17.0	26.4	מקורית + שליטה מההגה	יש	אין	יש	12.3	יש	USB	Android Auto + Apple CarPlay	אין	אין	4	בקרת אקלים + פתחי איוורור מאחור	גג שמש פנוראמי	יש	יש	בד משולב עור	אין	אין	אין	LED	יש	יש	יש	אחוריים	אחורית	אין	יש	יש	אין	כניסה + הנעה	יש	מראות פנים	יש	אין	אין	יש	יש	יש + Auto Hold	אין	אין	רגילים	אין	מושב אחורי נע על מסילה, הנעה מרחוק, מראות צד מחוממות, מסילות גג, חלונות אחוריים כהים, תאורה פנימית לד	--
25	קיה	סיד_סטיישן_SW																																																																																																																		
26	קיה	פיקנטו		2022	5	5	87,900	1	2180	שבע שנים		2017	קדמית	אוטומטית - רובוטית מצמד יחיד	5	בנזין	4	1197	84	6000	12.0	4200				15.7	172	--	--	16.9	--	--	--	--	--	5		ABS + EBD + BAS	7	יש	יש	יש	יש	יש	יש	יש	אין	אין	היגוי אקטיבי	אין	אין	אין	יש	אין	אין	אין	אין	--	359.5	159.5	150.0	240.0	255	1010	984	0.0	0.0	195/45R16	35				מקורית + שליטה מההגה	יש	אין	יש	8	אין	USB	Android Auto + Apple CarPlay	אין	אין	4	בקרת אקלים	אין	יש	יש	עור	אין	אין	אין	רגילים	יש	אין	יש	אחוריים	אחורית	אין	יש	אין	אין	כניסה + הנעה	יש	אין	יש	אין	אין	אין	אין	אין	אין	אין	רגילים	אין	מראות צד עם מפשיר אדים, משענת יד קדמית, ידיות דלתות בחיפוי כרום, חלונות אחוריים כהים, הגה קטום, דוושות אלומיניום, סבכה קדמית עם גימור שחור, תאורת יום משודרגת, גימורים חיצוניים דמוי שטח	--
27	קיה	פיקנטו		2022	5	5	86,900	1	2156	שבע שנים		2017	קדמית	אוטומטית - רובוטית מצמד יחיד	5	בנזין	4	1197	84	6000	12.0	4200				15.7	172	--	--	17.2	--	--	--	--	--	4		ABS + EBD + BAS	7	יש	יש	יש	יש	יש	יש	יש	אין	אין	היגוי אקטיבי	אין	אין	אין	יש	אין	אין	אין	אין	--	359.5	159.5	148.5	240.0	255	1010	984	0.0	0.0	185/55R15	35				מקורית + שליטה מההגה	יש	אין	יש	8	אין	USB	Android Auto + Apple CarPlay	אין	אין	4	בקרת אקלים	אין	יש	יש	בד	אין	אין	אין	רגילים	יש	אין	יש	אחוריים	אחורית	אין	יש	אין	אין	כניסה + הנעה	אין	אין	יש	אין	אין	אין	אין	אין	אין	אין	רגילים	אין	מראות צד עם מפשיר אדים, משענת יד קדמית, ידיות דלתות בחיפוי כרום, חלונות אחוריים כהים	--
