tozeret_cd,degem_cd,shnat_yitzur,size
33,761,2008,38
33,761,2009,35
57,2,2016,15
57,2,2017,12
63,3,2017,16
63,4,2017,42
63,6,2017,20
70,11,2005,13
70,12,2006,14
70,21,2005,49
70,31,2006,41
70,41,2006,10
71,11,2001,12
71,21,2001,9
74,2,2011,19
74,2,2012,8
74,2,2013,8
74,6,2012,9
74,12,2012,9
74,12,2013,20
74,13,2012,12
74,14,2012,12
74,15,2011,20
74,15,2012,37
74,15,2013,42
74,16,2012,15
74,16,2013,48
74,16,2014,14
74,17,2012,22
74,17,2013,40
74,23,2013,52
74,26,2013,8
74,27,2013,29
74,28,2014,24
74,29,2014,11
74,37,2014,12
74,39,2014,29
74,43,2014,22
74,45,2014,26
74,45,2015,35
74,46,2014,16
74,46,2015,19
74,57,2015,37
74,57,2016,44
74,59,2015,21
74,59,2016,18
74,63,2015,15
74,68,2016,12
74,69,2015,8
74,73,2015,21
74,76,2015,17
74,77,2015,16
74,79,2015,11
74,82,2015,15
74,82,2016,16
74,83,2015,12
74,85,2015,13
74,85,2016,17
74,86,2015,10
74,87,2016,11
74,93,2015,9
74,103,2016,9
74,107,2016,34
74,108,2016,11
74,119,2016,9
74,170,2009,11
74,180,2009,19
74,180,2010,20
74,190,2008,25
74,230,2010,11
74,241,2009,20
74,241,2010,29
74,241,2011,26
74,291,2009,27
74,321,2009,31
74,321,2010,65
74,321,2011,86
74,331,2009,9
74,331,2010,18
74,331,2011,20
74,350,2009,56
74,350,2010,50
74,390,2011,39
74,390,2013,18
74,420,2010,13
74,420,2011,9
74,421,2010,17
74,441,2011,9
74,450,2010,13
74,450,2011,14
74,451,2010,25
74,451,2011,35
74,461,2010,11
74,461,2011,17
74,470,2011,10
74,481,2011,12
74,500,2011,14
74,510,2011,29
74,510,2012,9
74,510,2013,14
74,520,2011,37
74,650,2009,22
74,650,2010,29
76,1,2015,34
76,1,2016,38
76,3,2015,9
76,7,2015,28
76,8,2015,43
76,10,2015,17
76,13,2015,422
76,13,2016,456
76,14,2015,78
76,14,2016,163
76,19,2016,99
76,24,2016,222
76,24,2017,47
76,41,2011,60
76,41,2012,14
76,71,2012,18
82,3,2011,10
82,3,2013,12
82,14,2015,9
82,17,2016,21
82,17,2017,8
82,18,2016,8
82,20,2010,27
82,20,2011,33
82,20,2012,8
82,20,2013,21
82,20,2014,16
82,22,2008,8
82,41,2009,26
82,50,2009,24
82,50,2010,17
82,50,2011,25
82,51,2009,37
82,51,2010,48
82,51,2011,82
82,51,2012,11
82,51,2013,24
82,51,2014,17
82,71,2010,14
82,81,2011,12
92,30,2002,69
92,30,2003,103
92,30,2004,87
92,40,2002,11
101,10,2011,15
103,1,2012,155
103,1,2013,129
103,2,2013,27
103,3,2013,99
103,4,2015,53
103,5,2013,37
103,5,2015,57
103,7,2015,109
103,7,2016,83
103,8,2015,56
103,15,2015,195
103,16,2015,161
103,16,2016,56
103,21,2005,9
103,25,2015,20
103,25,2016,236
103,27,2016,27
103,30,2016,188
103,30,2017,150
103,32,2016,124
103,32,2017,15
103,34,2016,70
103,37,2016,69
103,38,2016,28
103,71,2008,105
103,71,2009,27
103,91,2008,11
103,121,2008,16
103,131,2011,1309
103,131,2012,281
103,171,2010,583
103,171,2011,229
103,211,2001,9
103,211,2002,9
103,211,2003,15
103,291,2003,13
103,350,2011,106
103,350,2012,81
104,30,2005,11
104,121,2000,9
104,201,2006,15
104,231,2001,46
104,231,2003,22
104,241,2001,13
104,241,2002,9
104,261,2000,21
104,261,2001,19
104,261,2003,9
104,311,2005,32
104,321,2005,46
104,321,2006,13
104,331,2005,10
104,5751,2007,13
104,5751,2008,39
114,11,2002,8
114,81,2002,9
114,141,2002,14
114,141,2005,9
114,201,2002,14
114,211,2002,8
114,221,2002,20
114,221,2005,15
114,241,2002,39
114,241,2003,26
114,241,2005,15
114,251,2002,12
114,651,2005,10
114,691,2005,12
114,881,2005,17
114,931,2004,10
114,931,2005,9
114,1111,2006,24
114,1112,2008,39
114,1271,2005,9
114,1301,2005,27
114,1301,2006,43
114,1301,2007,19
114,1302,2007,9
114,1371,2005,17
114,1371,2006,17
114,1371,2007,11
114,1531,2006,9
114,1541,2006,8
114,1771,2005,11
114,1771,2006,41
114,1801,2006,18
114,1802,2007,9
114,1811,2006,21
114,1821,2006,40
114,1831,2006,41
114,1842,2008,8
114,1931,2006,9
114,1941,2006,25
114,1951,2006,24
114,1961,2006,21
114,2091,2007,13
114,2092,2007,11
114,2092,2008,63
114,2101,2007,12
114,2102,2007,8
114,2102,2008,45
114,2121,2007,10
114,2122,2008,54
114,2262,2007,9
114,2262,2008,16
114,2272,2007,9
114,2281,2007,18
114,2282,2007,10
114,2282,2008,29
114,2291,2007,26
114,2292,2007,13
114,2292,2008,89
114,2302,2008,27
114,2321,2007,14
114,2322,2007,11
114,2322,2008,45
114,2332,2008,16
114,2452,2008,10
114,2491,2008,83
114,2501,2008,61
114,2511,2008,41
114,2521,2008,14
114,2531,2008,43
114,2541,2008,19
114,2551,2008,82
114,2701,2008,32
114,2711,2008,17
121,1,2011,18
121,1,2012,8
121,2,2012,12
121,3,2012,16
127,20,2001,19
127,20,2002,13
127,100,2002,10
127,100,2003,13
127,200,1999,11
127,200,2001,13
127,200,2002,8
127,220,1999,11
127,230,1999,13
127,250,2000,11
127,400,2001,10
127,500,2000,19
127,600,2000,13
127,600,2001,54
127,600,2002,112
127,700,2001,9
127,800,2000,11
127,800,2001,25
127,900,2003,13
127,1000,2000,18
127,1000,2001,83
127,1000,2002,87
127,1200,2002,66
127,1200,2003,107
127,1300,2002,79
127,1300,2003,111
127,1400,2002,38
127,1400,2003,43
127,1420,2003,147
127,1420,2004,55
127,1430,2003,123
127,1430,2004,47
127,1504,1998,12
127,1504,1999,9
127,1504,2000,17
127,1504,2001,74
127,1504,2002,18
127,1504,2003,14
127,1506,2001,42
127,1507,2001,9
127,1507,2002,12
127,1507,2003,13
127,1550,2002,29
127,1550,2003,64
127,1600,2002,23
127,1600,2003,79
127,1700,2001,34
127,1700,2002,10
127,1800,2003,8
127,2000,2003,102
139,1,2010,74
139,1,2011,234
139,1,2012,57
139,2,2010,349
139,2,2011,1164
139,2,2012,466
139,3,2016,87
139,3,2017,106
139,9,2016,835
139,9,2017,914
139,10,2007,18
139,10,2016,210
139,10,2017,186
139,11,2007,26
139,11,2008,136
139,11,2016,241
139,11,2017,71
139,12,2007,14
139,12,2008,53
139,12,2016,92
139,12,2017,66
139,13,2008,40
139,13,2016,34
139,14,2008,48
139,14,2017,55
139,15,2009,23
139,16,2009,44
139,17,2009,10
139,20,2007,23
139,21,2007,31
139,21,2008,190
139,21,2009,28
139,22,2009,8
139,200,2000,8
139,200,2001,19
139,200,2002,18
139,400,2000,10
139,400,2002,15
139,500,2003,13
139,500,2004,18
139,500,2005,99
139,500,2006,114
139,500,2007,46
139,600,2003,21
139,600,2004,44
139,600,2005,62
139,600,2006,101
139,600,2007,97
143,1,2012,24
143,4,2012,97
143,5,2012,43
143,6,2012,8
143,6,2013,12
143,7,2012,8
143,7,2013,18
143,8,2012,19
143,8,2013,39
143,12,2013,8
143,13,2013,11
143,15,2012,29
143,15,2013,31
143,21,2002,16
143,21,2003,10
143,22,2013,18
143,23,2012,54
143,23,2013,107
143,24,2012,12
143,24,2013,39
143,32,2013,9
143,33,2013,40
143,47,2013,19
143,49,2013,9
143,51,2002,9
143,59,2013,14
143,61,2002,9
143,61,2004,8
143,62,2015,8
143,67,2013,8
143,68,2013,20
143,71,2002,57
143,71,2003,35
143,71,2004,18
143,81,2002,13
143,81,2003,9
143,83,2013,61
143,84,2013,34
143,88,2013,20
143,89,2013,21
143,91,2004,28
143,91,2005,9
143,93,2013,118
143,95,2013,10
143,108,2013,9
143,122,2013,12
143,143,2014,19
143,144,2014,8
143,144,2015,8
143,159,2014,13
143,162,2014,8
143,162,2015,8
143,163,2014,11
143,163,2015,10
143,164,2014,9
143,191,2000,13
143,201,1998,9
143,210,1997,11
143,220,1997,15
143,261,1999,17
143,261,2000,37
143,261,2001,24
143,265,2016,8
143,268,2016,17
143,271,2000,17
143,288,2016,16
143,289,2016,29
143,308,2016,31
143,317,2016,31
143,318,2016,20
143,321,1999,9
143,321,2000,13
143,322,2016,80
143,331,1999,9
143,331,2000,17
143,335,2016,67
143,341,1999,16
143,341,2000,29
143,343,2016,79
143,371,2001,28
143,374,2016,37
143,378,2016,54
143,394,2016,13
143,397,2016,11
143,398,2016,11
143,399,2016,13
143,405,2016,11
143,417,2016,18
143,418,2016,11
143,420,2016,66
143,420,2017,70
143,422,2016,36
143,442,2016,12
143,443,2016,114
143,449,2016,10
143,456,2016,8
143,459,2016,9
143,465,2016,10
143,468,2016,11
143,468,2017,21
143,471,2002,12
143,481,2001,18
143,481,2002,17
143,481,2003,22
143,491,2001,18
143,491,2002,14
143,491,2003,9
143,495,2017,8
143,496,2017,12
143,497,2017,35
143,498,2017,8
143,499,2017,12
143,501,2001,38
143,501,2002,25
143,501,2003,26
143,502,2017,41
143,503,2017,8
143,504,2016,8
143,509,2017,8
143,511,2001,9
143,518,2017,15
143,519,2017,16
143,520,2017,9
143,524,2017,17
143,526,2017,14
143,530,2016,9
143,530,2017,17
143,531,2001,8
143,534,2017,13
143,536,2017,10
143,538,2017,14
143,539,2017,9
143,548,2017,10
143,549,2016,8
143,549,2017,132
143,550,2017,11
143,555,2017,38
143,557,2016,10
143,557,2017,101
143,561,2002,10
143,569,2017,8
143,579,2017,115
143,583,2017,76
143,585,2017,18
143,587,2017,76
143,588,2017,15
143,593,2017,21
143,598,2017,19
143,603,2017,24
143,604,2017,59
143,609,2017,14
143,611,2002,8
143,616,2017,32
143,617,2017,19
143,621,2004,18
143,628,2017,9
143,631,2004,20
143,636,2017,194
143,644,2017,33
143,645,2017,18
143,671,2003,9
143,671,2004,101
143,671,2005,16
143,681,2004,16
143,701,1998,65
143,751,2006,8
143,861,1998,8
143,891,2000,9
143,941,2006,75
143,941,2007,50
143,942,2007,28
143,951,2006,24
143,951,2007,13
143,952,2007,14
143,971,2006,13
143,991,2006,14
143,991,2007,11
143,992,2008,9
143,1021,2008,14
143,1041,2008,26
143,1041,2009,9
143,1051,2008,12
143,1061,2008,69
143,1061,2009,54
143,1061,2010,40
143,1071,2008,52
143,1091,2008,16
143,1111,2005,20
143,1121,2005,27
143,1281,2004,10
143,1291,2006,53
143,1291,2007,66
143,1292,2007,18
143,1301,2006,33
143,1301,2007,43
143,1302,2007,24
143,1311,2006,13
143,1311,2007,8
143,1371,2007,22
143,1411,2007,10
143,1412,2007,10
143,1412,2008,8
143,1421,1998,18
143,1471,1997,15
143,1481,1998,8
143,1541,1997,10
143,1541,1998,10
143,1552,2007,8
143,1552,2008,8
143,1581,2005,68
143,1591,2006,43
143,1591,2007,29
143,1592,2007,16
143,1592,2008,49
143,1592,2009,24
143,1602,2008,12
143,1631,2008,72
143,1631,2009,42
143,1631,2010,14
143,1661,2008,12
143,1671,2008,10
143,1691,2008,8
143,1701,1997,12
143,1701,1998,23
143,1711,2008,11
143,1721,2008,32
143,1721,2009,44
143,1721,2010,25
143,1721,2011,52
143,1721,2012,51
143,1731,2008,25
143,1731,2009,35
143,1731,2010,12
143,1731,2011,33
143,1781,2008,8
143,1851,1997,8
143,1871,2008,9
143,1871,2009,18
143,1881,2008,37
143,1981,2009,19
143,1981,2012,29
143,2001,2009,61
143,2001,2010,69
143,2001,2011,34
143,2001,2012,45
143,2021,2009,28
143,2021,2010,14
143,2021,2011,11
143,2111,2010,11
143,2111,2011,13
143,2201,2011,10
143,2251,2010,18
143,2251,2011,22
143,2251,2012,38
143,2271,2010,27
143,2271,2011,41
143,2271,2012,26
143,4121,1999,13
152,1,2013,17
152,9,2014,18
152,13,2013,15
152,15,2014,44
152,17,2014,63
152,17,2015,8
152,25,2015,100
152,25,2016,73
152,26,2015,87
152,26,2016,113
152,28,2015,78
152,28,2016,71
152,30,2015,15
152,32,2015,9
152,34,2015,10
152,35,2015,27
152,35,2016,61
152,39,2015,34
152,48,2017,13
152,50,2017,10
155,1,2012,538
155,1,2013,51
155,1,2014,358
155,1,2015,182
155,2,2012,149
155,2,2013,15
155,2,2014,70
155,3,2015,11
155,3,2016,439
155,3,2017,149
155,5,2017,131
155,6,2017,20
155,7,2017,33
155,10,2004,16
155,20,2008,8
155,20,2009,57
155,21,2004,498
155,21,2005,818
155,21,2006,38
155,31,2004,207
155,31,2005,163
155,41,2004,44
155,41,2005,33
155,51,2004,33
155,51,2005,49
155,51,2006,11
155,61,2004,283
155,61,2005,381
155,71,2004,49
155,71,2005,32
155,81,2008,1110
155,81,2009,840
155,91,2008,15
155,101,2008,113
155,101,2009,82
155,111,2008,32
155,121,2009,931
155,121,2010,698
155,121,2011,547
155,121,2012,369
155,141,2009,150
155,141,2010,145
155,141,2011,84
155,141,2012,20
155,151,2009,245
155,151,2010,17
155,161,2009,464
155,161,2010,573
156,1,2012,99
156,1,2014,9
156,5,2012,36
156,5,2014,8
156,11,2008,63
156,11,2009,32
156,21,2008,80
156,21,2009,27
156,61,2010,14
156,71,2010,19
156,121,2010,481
156,121,2011,23
156,131,2010,201
156,141,2010,86
156,141,2011,15
156,151,2010,88
156,151,2011,405
156,151,2012,78
156,161,2010,28
156,161,2011,360
156,161,2012,179
156,881,2006,53
156,882,2007,29
156,891,2006,53
156,892,2007,28
156,901,1996,9
156,901,1997,23
156,931,2001,8
156,931,2003,13
156,941,2000,9
156,951,2001,14
156,971,2001,8
156,971,2003,10
156,991,2005,77
177,1,2011,80
177,1,2012,59
177,1,2013,258
177,1,2014,24
177,3,2013,33
177,5,2013,9
177,6,2013,44
177,6,2014,22
177,6,2015,12
177,9,2014,8
177,9,2015,13
177,15,2007,25
177,15,2013,255
177,15,2014,133
177,16,2007,37
177,16,2008,101
177,16,2009,103
177,16,2010,105
177,16,2013,43
177,16,2014,11
177,17,2013,124
177,17,2014,41
177,18,2013,126
177,18,2014,45
177,19,2013,10
177,19,2014,89
177,20,2011,25
177,20,2012,10
177,21,2014,36
177,25,2011,37
177,25,2012,10
177,26,2014,30
177,26,2015,267
177,27,2015,36
177,28,2015,23
177,29,2015,32
177,31,2016,68
177,32,2016,10
177,33,2015,136
177,33,2016,127
177,34,2015,9
177,34,2016,79
177,35,2015,14
177,36,2015,56
177,36,2016,66
177,37,2016,33
177,39,2016,72
177,40,2016,8
177,41,2016,103
177,45,2016,214
177,46,2016,118
177,47,2016,16
177,48,2016,96
177,49,2017,10
177,51,2010,35
177,51,2011,72
177,60,2009,77
177,60,2010,103
177,70,2010,21
177,90,2010,16
177,90,2011,18
177,300,2003,16
183,10,2007,23
183,10,2008,19
183,11,2009,8
183,12,2007,29
183,12,2008,11
185,1,2015,10
185,2,2015,240
185,2,2016,9
185,3,2015,740
185,3,2016,180
185,5,2017,178
185,11,2008,310
185,31,2008,60
185,41,2008,687
185,41,2009,1162
185,51,2008,60
185,51,2009,375
185,61,2008,23
185,61,2009,315
185,71,2009,93
185,71,2010,51
185,81,2009,63
185,81,2010,36
185,91,2009,487
185,91,2010,38
185,101,2009,81
185,101,2010,41
185,141,2011,47
185,151,2011,56
185,151,2012,15
185,161,2011,29
185,161,2012,14
185,171,2011,24
185,171,2012,21
187,1,2014,87
187,1,2015,109
187,2,2014,157
187,2,2015,138
187,3,2015,10
187,4,2015,52
187,5,2016,152
187,6,2016,559
187,9,2016,16
187,10,2008,215
187,10,2009,26
187,12,2008,79
187,13,2008,109
187,14,2008,91
187,17,2009,111
187,18,2009,38
187,18,2010,47
187,19,2009,30
187,22,2010,67
187,23,2016,8
187,23,2017,10
187,24,2016,17
187,24,2017,14
187,25,2010,15
187,25,2011,136
187,26,2010,38
187,26,2011,182
187,27,2011,39
187,27,2012,30
187,27,2013,288
187,27,2014,115
187,28,2011,42
187,28,2012,78
187,28,2013,268
187,28,2014,83
187,29,2017,40
187,31,2017,13
188,5,2013,28
188,9,2013,248
188,9,2015,71
188,11,2011,115
188,11,2012,51
188,18,2015,23
188,19,2015,8
188,21,2011,227
188,24,2015,15
188,25,2015,28
188,27,2015,15
188,31,2011,198
188,31,2012,315
188,31,2013,68
188,31,2015,12
188,32,2015,10
188,33,2015,205
188,33,2016,455
188,35,2015,41
188,35,2016,198
188,36,2015,52
188,36,2016,221
188,37,2016,17
188,38,2015,24
188,38,2016,77
188,41,2011,125
188,51,2011,15
188,52,2016,9
188,55,2016,246
188,55,2017,47
188,58,2016,39
188,65,2016,45
188,65,2017,11
188,66,2017,37
189,11,2006,39
189,12,2007,35
189,21,2006,78
189,31,2006,101
189,32,2007,43
189,32,2008,195
189,32,2009,26
189,61,2006,22
189,62,2008,17
189,71,2008,149
189,71,2009,59
189,81,2008,27
189,91,2009,64
194,10,2005,17
194,21,2007,19
194,21,2009,14
194,42,2006,23
194,54,2007,10
194,54,2009,12
194,60,2006,10
194,68,2008,8
194,72,2007,30
194,82,2008,13
194,88,2008,77
194,88,2009,31
237,1,2014,30
237,2,2013,15
237,2,2014,42
237,3,2014,56
237,4,2014,54
237,6,2013,22
237,6,2014,82
237,7,2014,19
237,11,2011,73
237,16,2016,78
237,17,2016,13
237,19,2016,41
237,21,2011,71
237,21,2012,177
237,25,2016,12
237,26,2016,617
237,26,2017,324
237,27,2016,35
237,27,2017,14
237,28,2016,421
237,28,2017,125
253,2,2011,13
253,3,2011,16
253,4,2011,16
253,11,2009,22
253,11,2010,52
253,11,2011,17
253,14,2013,8
253,17,2012,185
253,17,2013,887
253,17,2014,681
253,17,2015,171
253,18,2012,279
253,18,2013,1637
253,18,2014,677
253,19,2013,61
253,19,2014,38
253,19,2015,9
253,21,2009,1677
253,21,2010,8
253,22,2012,544
253,22,2013,3674
253,22,2014,10
253,23,2013,51
253,23,2014,30
253,24,2013,669
253,24,2014,2377
253,24,2015,11
253,28,2014,9
253,29,2014,12
253,30,2014,138
253,31,2009,209
253,31,2010,8
253,32,2014,206
253,32,2015,302
253,33,2014,368
253,33,2015,785
253,34,2015,170
253,34,2016,1174
253,35,2015,164
253,35,2016,1225
253,36,2015,103
253,36,2016,1083
253,37,2015,67
253,37,2016,342
253,38,2016,8
253,40,2015,118
253,40,2016,508
253,41,2009,36
253,41,2010,360
253,41,2011,76
253,49,2016,39
253,50,2016,182
253,51,2009,19
253,51,2010,64
253,53,2016,92
253,53,2017,71
253,54,2016,180
253,54,2017,18
253,62,2016,492
253,62,2017,697
253,64,2016,669
253,64,2017,1098
253,65,2016,473
253,65,2017,694
253,66,2016,194
253,66,2017,188
253,67,2016,26
253,67,2017,30
253,81,2009,710
253,81,2010,3023
253,81,2011,579
253,91,2009,14
253,101,2009,1021
253,101,2010,4773
253,101,2011,3222
253,101,2012,18
253,112,2022,12
253,141,2011,1002
253,151,2011,328
268,1,2012,18
268,2,2012,10
268,5,2012,23
268,5,2013,216
268,7,2013,97
268,16,2014,80
268,17,2014,61
268,24,2014,18
268,24,2015,18
268,25,2015,8
268,33,2015,68
268,33,2016,107
268,33,2017,82
268,34,2015,46
268,34,2016,78
268,34,2017,52
268,35,2015,24
268,35,2016,37
268,35,2017,17
268,36,2015,174
268,36,2016,300
268,36,2017,226
268,37,2015,17
268,37,2016,46
268,37,2017,22
268,38,2015,9
268,38,2016,16
268,39,2016,9
268,49,2017,8
279,2,2013,11
279,2,2014,49
279,10,2008,208
279,10,2009,29
281,11,2009,127
281,11,2010,772
281,11,2011,115
281,21,2009,277
281,21,2010,3461
281,21,2011,160
281,31,2007,201
281,32,2007,518
281,32,2008,1204
281,32,2009,506
281,41,2007,408
281,42,2007,22
281,51,2006,932
