Unnamed: 0,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ
16,יונדאי,ix35,ELITE,2011.0,5.0,5.0,0,5.0,0,0,אחודה,2009.0,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,טורבו דיזל,4.0,1995.0,184.0,4000.0,40.0,1800.0,10.1,195.0,9.9,16.6,13.3,0,0,0,0,0,14.0,14.0,ABS + EBD,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0,182.0,169.0,264.0,591.0,1436.0,1660.0,750.0,1600.0,225/55R18,55.0,מקורית + שליטה מההגה,0,0,1,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,1,עור,יש - לנהג בלבד,0,0,רגילים,1,0,0,אחוריים,אחורית,0,1,0,0,הנעה בלבד,1,מראות פנים,0,0,0,0,0,0,0,1,רגילים,0,0,0
17,יונדאי,ix35,SUPREME,2010.0,5.0,5.0,0,5.0,0,0,אחודה,2009.0,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,בנזין,4.0,1998.0,163.0,6200.0,20.1,4600.0,11.3,178.0,8.5,13.5,11.1,0,0,0,0,0,13.0,13.0,ABS + EBD,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0,182.0,169.0,264.0,591.0,1463.0,1560.0,750.0,1600.0,225/60R17,55.0,מקורית + שליטה מההגה,0,0,0,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,1,בד משולב עור,יש - לנהג בלבד,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,רגילים,0,0,0
18,יונדאי,ix35,SUPREME,2010.0,5.0,5.0,0,5.0,0,0,אחודה,2009.0,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,טורבו דיזל,4.0,1995.0,184.0,4000.0,40.0,1800.0,10.1,195.0,9.9,16.6,13.3,0,0,0,0,0,14.0,14.0,ABS + EBD,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0,182.0,169.0,264.0,591.0,1436.0,1660.0,750.0,1600.0,225/60R17,55.0,מקורית + שליטה מההגה,0,0,0,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,1,בד משולב עור,יש - לנהג בלבד,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,רגילים,0,0,0
19,יונדאי,ix35,ELITE,2012.0,5.0,5.0,0,5.0,0,0,אחודה,2009.0,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,בנזין,4.0,2359.0,177.0,6000.0,23.1,4000.0,10.0,192.0,8.0,13.6,10.8,0,0,0,0,0,14.0,14.0,ABS + EBD,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0,182.0,169.0,264.0,591.0,1436.0,1570.0,750.0,1600.0,225/55R18,55.0,מקורית + שליטה מההגה,0,1,1,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,ללא,עור,יש - לנהג בלבד,0,0,רגילים,1,0,0,אחוריים,אחורית,0,1,0,0,כניסה + הנעה,1,מראות פנים,0,0,0,0,0,0,0,1,רגילים,0,0,0
20,יונדאי,ix35,SUPREME,2013.0,5.0,5.0,0,5.0,0,0,אחודה,2009.0,קדמית,אוטומטית - טיפטרוניק,6.0,בנזין,4.0,1998.0,163.0,6200.0,20.1,4600.0,10.6,180.0,8.8,13.8,11.5,0,0,0,0,0,14.0,14.0,ABS + EBD,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0,182.0,169.0,264.0,591.0,1436.0,1480.0,750.0,1600.0,225/60R17,55.0,מקורית + שליטה מההגה,0,0,1,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,1,בד משולב עור,יש - לנהג בלבד,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,רגילים,0,0,0
21,יונדאי,ix35,INSPIRE,2013.0,5.0,5.0,0,5.0,0,0,אחודה,2009.0,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,טורבו דיזל,4.0,1995.0,184.0,4000.0,40.0,1800.0,10.1,195.0,9.9,16.6,13.3,0,0,0,0,0,15.0,15.0,ABS + EBD,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0,182.0,169.0,264.0,591.0,1436.0,1660.0,750.0,1600.0,225/60R17,55.0,מקורית + שליטה מההגה,0,0,1,0,0,USB + AUX,0,0,0,4.0,מזגן רגיל,אופציה לגג שמש פנוראמי,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,רגילים,0,0,0
22,יונדאי,ix35,INSPIRE,2011.0,5.0,5.0,0,5.0,0,0,אחודה,2009.0,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,בנזין,4.0,1998.0,163.0,6200.0,20.1,4600.0,11.3,178.0,8.5,13.5,11.1,0,0,0,0,0,13.0,13.0,ABS + EBD,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0,182.0,169.0,264.0,591.0,1436.0,1560.0,750.0,1600.0,225/60R17,55.0,מקורית + שליטה מההגה,0,0,0,0,0,USB + AUX,0,0,0,4.0,מזגן רגיל,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,רגילים,0,0,0
23,יונדאי,ix35,SUPREME,2014.0,5.0,5.0,0,5.0,0,0,אחודה,2009.0,קדמית,אוטומטית - טיפטרוניק,6.0,בנזין,4.0,1999.0,154.0,6200.0,19.5,4700.0,11.5,177.0,8.5,14.2,11.3,0,0,0,0,0,14.0,14.0,ABS + EBD,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0,182.0,169.0,264.0,591.0,1436.0,1480.0,750.0,1600.0,225/55R18,58.0,מקורית + שליטה מההגה,0,0,1,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים,גג שמש פנוראמי,1,1,בד משולב עור,0,0,0,רגילים,1,0,0,0,אחורית,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,רגילים,0,0,0
24,יונדאי,ix35,SUPREME,2011.0,5.0,5.0,0,5.0,0,0,אחודה,2009.0,קדמית,אוטומטית - טיפטרוניק,6.0,בנזין,4.0,1998.0,163.0,6200.0,20.1,4600.0,10.6,180.0,8.8,13.8,11.5,0,0,0,0,0,11.0,11.0,ABS + EBD,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0,182.0,169.0,264.0,591.0,1436.0,1480.0,750.0,1600.0,225/60R17,55.0,מקורית + שליטה מההגה,0,0,0,0,0,USB + AUX,0,0,0,4.0,בקרת אקלים מפוצלת,גג שמש פנוראמי,1,1,בד משולב עור,יש - לנהג בלבד,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,רגילים,0,0,0
25,יונדאי,ix35,INSPIRE,2012.0,5.0,5.0,0,5.0,0,0,אחודה,2009.0,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,בנזין,4.0,1998.0,163.0,6200.0,20.1,4600.0,11.3,178.0,8.5,13.5,11.1,0,0,0,0,0,13.0,13.0,ABS + EBD,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0,182.0,169.0,264.0,591.0,1436.0,1560.0,750.0,1600.0,225/60R17,55.0,מקורית + שליטה מההגה,0,0,0,0,0,USB + AUX,0,0,0,4.0,מזגן רגיל,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,רגילים,0,0,0
26,יונדאי,ix35,OPEN,2015.0,5.0,5.0,0,5.0,0,0,אחודה,2009.0,קדמית,אוטומטית - טיפטרוניק,6.0,בנזין,4.0,1999.0,154.0,6200.0,19.5,4700.0,11.5,177.0,8.5,14.2,11.3,0,0,0,0,0,15.0,15.0,ABS + EBD,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0,182.0,169.0,264.0,591.0,1436.0,1480.0,750.0,1600.0,225/55R18,58.0,מקורית + שליטה מההגה,0,0,1,0,1,USB + AUX,0,0,0,4.0,מזגן רגיל,גג שמש פנוראמי,1,1,בד,0,0,0,רגילים,1,0,0,0,אחורית,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,רגילים,0,0,0
27,יונדאי,ix35,INSPIRE,2012.0,5.0,5.0,0,5.0,0,0,אחודה,2009.0,קדמית,אוטומטית - טיפטרוניק,6.0,בנזין,4.0,1998.0,163.0,6200.0,20.1,4600.0,10.6,180.0,8.8,13.8,11.5,0,0,0,0,0,11.0,11.0,ABS + EBD,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0,182.0,169.0,264.0,591.0,1436.0,1480.0,750.0,1600.0,225/60R17,55.0,מקורית + שליטה מההגה,0,0,0,0,0,USB + AUX,0,0,0,4.0,מזגן רגיל,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,רגילים,0,0,0
28,יונדאי,ix35,INSPIRE,2010.0,5.0,5.0,0,5.0,0,0,אחודה,2009.0,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,בנזין,4.0,2359.0,177.0,6000.0,23.1,4000.0,10.0,192.0,8.0,13.6,10.8,0,0,0,0,0,14.0,14.0,ABS + EBD,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0,182.0,169.0,264.0,591.0,1436.0,1570.0,750.0,1600.0,225/60R17,55.0,מקורית + שליטה מההגה,0,0,0,0,0,USB + AUX,0,0,0,4.0,מזגן רגיל,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,רגילים,0,0,0
29,יונדאי,ix35,INSPIRE,2011.0,5.0,5.0,0,5.0,0,0,אחודה,2009.0,קדמית,אוטומטית - טיפטרוניק,6.0,בנזין,4.0,1998.0,163.0,6200.0,20.1,4600.0,10.6,180.0,8.8,13.8,11.5,0,0,0,0,0,11.0,11.0,ABS + EBD,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0,182.0,169.0,264.0,591.0,1436.0,1480.0,750.0,1600.0,225/60R17,55.0,מקורית + שליטה מההגה,0,0,0,0,0,USB + AUX,0,0,0,4.0,מזגן רגיל,0,1,ללא,בד,0,0,0,רגילים,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,רגילים,0,0,0
30,יונדאי,ix35,PRIME,2015.0,5.0,5.0,0,4.0,0,0,אחודה,2009.0,כפולה (4X4),אוטומטית - טיפטרוניק,6.0,בנזין,4.0,1999.0,154.0,6200.0,19.5,4700.0,11.7,175.0,8.9,14.9,11.9,0,0,0,0,0,15.0,15.0,ABS + EBD,6.0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,441.0,182.0,169.0,264.0,591.0,1436.0,1480.0,750.0,1600.0,225/60R17,58.0,מקורית + שליטה מההגה,0,0,1,0,1,USB + AUX,0,0,0,4.0,מזגן רגיל,0,0,1,בד,0,0,0,רגילים,0,0,0,0,אחורית,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,רגילים,0,0,0
