,make,model,ramat_gimur,fieldyear,fielddoors,fieldsitting,fieldprice,fieldgroupy,fieldcontinous_value,fieldguarantee,fieldchassis,fieldlaunch,fieldignition,fieldgearbox,fieldgear,fieldengine,fieldpiston,fieldcapacity,fieldpower,fieldloops,fieldmoment,fieldloopmoment,fieldacceleration,fieldspeed,fieldurban_consumption,fieldintercity_consumption,fieldconsumption,fieldelectricity_use,fieldbattery_capacity,fieldelectric_range,fieldhome_charging_time,fieldfast_charging_time,fieldpollution,fieldbreaking,fieldbrake,fieldairbag,fieldstability,fieldcenairbag,fieldizofix,fieldpressure_sensor,fieldbelt_warning,fieldautonomous_braking,fieldpedestrian_identification,fieldtwo_wheeler_identification,fieldadaptive_cruise_control,fieldlane_assist,fieldblind_spot,fieldrear_traffic,fieldrear_traffic_braking,fieldalert_fatigue,fieldhigh_beam_assist,fieldtraffic_sign_recognition,fieldcrossing_warning_open_door,fieldchild_rear_seat,fieldadditional_safety_equipment,fieldlength,fieldwidth,fieldheight,fieldwheel,fieldcargo,fieldchaircargo,fieldselfweight,fieldtowing_without_brakes,fieldtowing_with_brakes,fieldtire,fieldfuel,fieldaudio,fieldbluetooth,fielddisc_changer,fieldtouch_screen,fieldscreen_size,fieldgps,fieldaudio_connections,fieldconnectivity,fieldwireless_charging,fieldseat_screens,fieldwindows,fieldairconditioning,fieldsunroof,fieldhook,fieldrowing,fieldupholstery,fieldautochair,fieldhotchair,fieldmassage_seats,fieldlight,fieldfog,fieldrain,fielddark,fieldparking_sensors,fieldparking_camers,fieldautomatic_parking,fieldcomputer,fielddigital_cluster,fieldhead_up_display,fieldwithout_key,fieldfolding_mirrors,fieldinside_mirror,fieldleather,fieldheated_steering_wheel,fieldpaddle_shifters,fielddriving_mode,fieldstop_start,fieldelectric_handbrake,fieldambient_light,fieldhill_assist,fieldsuspension_dampers,fieldelectric_tailgate,fieldmore_equ,fieldprice_equ,hanaa_nm,automatic_ind,delek_cd,n_model
10,ב.מ.וו,i3,PULSE,2018,5,4,--,6,--,--,--,2013,אחורית,אוטומטית - רציפה,--,חשמלי,--,0,170,--,25.5,--,7.3,150,--,--,--,131,33,300,07:30,00:39,1,1,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,1,אין,אין,אין,אין,אין,אין,אין,אין,אין,"מערכת ""מובילאיי"" בהתקנה מקומית",399.9,177.5,157.8,257.0,260,1100,1320,0,0,"ק' - 155/70R19, א' - 175/60R19",--,מקורית + שליטה מההגה,יש,אין,יש,10.2,יש,כונן קשיח + USB+ AUX,אין,אין,אין,2,בקרת אקלים,0,1,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,יש,יש,יש,אחוריים + קדמיים,אחורית,יש,יש,אין,אין,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,אין,אין,יש,אין,יש,אין,אין,רגילים,אין,--,--,2X4,1,4,סדרה_3
11,ב.מ.וו,i3,LOFT,2019,5,4,--,6,--,--,--,2013,אחורית,אוטומטית - רציפה,--,חשמלי,--,0,170,--,25.5,--,7.3,150,--,--,--,131,33,300,07:30,00:39,1,1,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,1,אין,אין,אין,אין,אין,אין,אין,אין,אין,"מערכת ""מובילאיי"" בהתקנה מקומית",399.9,177.5,157.8,257.0,260,1100,1320,0,0,"ק' - 155/70R19, א' - 175/60R19",--,מקורית + שליטה מההגה,יש,אין,יש,10.2,יש,כונן קשיח + USB+ AUX,אין,אין,אין,2,בקרת אקלים,0,1,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,יש,יש,יש,אחוריים + קדמיים,אחורית,יש,יש,אין,אין,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,אין,אין,יש,אין,יש,יש,אין,רגילים,אין,"עולם עיצוב פנימי Loft, חגורות בטיחות בגוון BMW i blue",--,2X4,1,4,סדרה_3
12,ב.מ.וו,i3,,2017,5,4,--,6,--,--,--,2013,אחורית,אוטומטית - רציפה,--,חשמלי,--,0,170,--,25.5,--,7.3,150,--,--,--,126,33,300,07:30,00:39,1,1,ABS,6,יש,יש,יש,1,1,יש,1,0,1,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,399.9,177.5,157.8,257.0,260,1100,1320,0,0,"ק' - 155/70R19, א' - 175/60R19",--,מקורית + שליטה מההגה,יש,אין,יש,10.2,יש,כונן קשיח + USB+ AUX,אין,אין,אין,2,בקרת אקלים,0,1,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,יש,יש,יש,אחוריים + קדמיים,אחורית,יש,יש,אין,אין,הנעה בלבד,יש,מראות צד + פנים,הגה בלבד,אין,אין,יש,אין,יש,אין,אין,רגילים,אין,--,--,2X4,1,4,סדרה_3
13,ב.מ.וו,i3,LOFT,2018,5,4,--,6,--,--,--,2013,אחורית,אוטומטית - רציפה,--,חשמלי,--,0,184,--,27.5,--,6.9,160,--,--,--,143,33,280,07:30,00:39,1,1,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,1,אין,אין,אין,אין,אין,אין,אין,אין,אין,"מערכת ""מובילאיי"" בהתקנה מקומית",400.6,179.1,159.0,257.0,260,1100,1340,0,0,"ק' - 155/55R20, א' - 195/50R20",--,מקורית + שליטה מההגה,יש,אין,יש,10.2,יש,כונן קשיח + USB+ AUX,אין,אין,אין,2,בקרת אקלים,0,1,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,אין,אין,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,אין,אין,יש,אין,יש,יש,אין,רגילים,אין,"עולם עיצוב פנימי Loft, חגורות בטיחות בגוון BMW i blue",--,2X4,1,4,סדרה_3
14,ב.מ.וו,i3,,2016,5,4,--,6,--,--,--,2013,אחורית,אוטומטית - רציפה,--,חשמלי,--,0,170,--,25.5,--,7.3,150,--,--,--,126,33,300,07:30,00:39,1,1,ABS,6,יש,יש,יש,1,1,יש,1,0,1,אין,אין,אין,אין,אין,אין,אין,אין,אין,--,399.9,177.5,157.8,257.0,260,1100,1320,0,0,"ק' 155/70R19 , א' 175/60R19",--,מקורית + שליטה מההגה,יש,אין,יש,10.2,יש,כונן קשיח + USB+ AUX,אין,אין,אין,2,בקרת אקלים,0,1,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,יש,יש,יש,אחוריים + קדמיים,אחורית,יש,יש,אין,אין,הנעה בלבד,יש,מראות צד + פנים,הגה בלבד,אין,אין,יש,אין,יש,אין,אין,רגילים,אין,--,--,2X4,1,4,סדרה_3
15,ב.מ.וו,i3,PULSE,2018,5,4,--,6,--,--,--,2013,אחורית,אוטומטית - רציפה,--,חשמלי,--,0,184,--,27.5,--,6.9,160,--,--,--,143,33,280,07:30,00:39,1,1,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,1,אין,אין,אין,אין,אין,אין,אין,אין,אין,"מערכת ""מובילאיי"" בהתקנה מקומית",400.6,179.1,159.0,257.0,260,1100,1340,0,0,"ק' - 155/55R20, א' - 195/50R20",--,מקורית + שליטה מההגה,יש,אין,יש,10.2,יש,כונן קשיח + USB+ AUX,אין,אין,אין,2,בקרת אקלים,0,1,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,יש,יש,יש,אחוריים + קדמיים,אחורית,אין,יש,אין,אין,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,אין,אין,יש,אין,יש,אין,אין,רגילים,אין,--,--,2X4,1,4,סדרה_3
16,ב.מ.וו,i3,LOFT,2018,5,4,--,6,--,--,--,2013,אחורית,אוטומטית - רציפה,--,חשמלי,--,0,170,--,25.5,--,7.3,150,--,--,--,131,33,300,07:30,00:39,1,1,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,1,אין,אין,אין,אין,אין,אין,אין,אין,אין,"מערכת ""מובילאיי"" בהתקנה מקומית",399.9,177.5,157.8,257.0,260,1100,1320,0,0,"ק' - 155/70R19, א' - 175/60R19",--,מקורית + שליטה מההגה,יש,אין,יש,10.2,יש,כונן קשיח + USB+ AUX,אין,אין,אין,2,בקרת אקלים,0,1,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,יש,יש,יש,אחוריים + קדמיים,אחורית,יש,יש,אין,אין,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,אין,אין,יש,אין,יש,יש,אין,רגילים,אין,"עולם עיצוב פנימי Loft, חגורות בטיחות בגוון BMW i blue",--,2X4,1,4,סדרה_3
17,ב.מ.וו,i3,LOFT,2020,5,4,--,6,5424,--,--,2013,אחורית,אוטומטית - רציפה,--,חשמלי,--,0,170,--,25.5,--,7.3,150,--,--,--,142,42,335,13:00,00:45,1,1,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,1,אין,אין,אין,אין,אין,אין,אין,אין,אין,"מערכת ""מובילאיי"" בהתקנה מקומית",401.1,177.5,159.8,257.0,260,1100,1345,0,0,"ק' - 155/70R19, א' - 175/60R19",--,מקורית + שליטה מההגה,יש,אין,יש,10.2,יש,כונן קשיח + USB+ AUX,Apple CarPlay,אין,אין,2,בקרת אקלים,0,1,כולל שמירת מרחק,בד,אין,מלפנים,אין,LED,יש,יש,יש,אחוריים + קדמיים,אחורית,יש,יש,אין,אין,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,אין,אין,יש,אין,יש,יש,אין,רגילים,אין,"חלונות אחוריים כהים, גימורי עץ, עולם עיצוב פנימי Loft, ערכה לתיקון תקר",--,2X4,1,4,סדרה_3
18,ב.מ.וו,i3,PULSE,2019,5,4,--,6,--,--,--,2013,אחורית,אוטומטית - רציפה,--,חשמלי,--,0,170,--,25.5,--,7.3,150,--,--,--,131,33,300,07:30,00:39,1,1,ABS + EBD + BAS,6,יש,יש,יש,1,1,יש,1,0,1,אין,אין,אין,אין,אין,אין,אין,אין,אין,"מערכת ""מובילאיי"" בהתקנה מקומית",399.9,177.5,157.8,257.0,260,1100,1320,0,0,"ק' - 155/70R19, א' - 175/60R19",--,מקורית + שליטה מההגה,יש,אין,יש,10.2,יש,כונן קשיח + USB+ AUX,אין,אין,אין,2,בקרת אקלים,0,1,כולל שמירת מרחק,בד,אין,אין,אין,רגילים,יש,יש,יש,אחוריים + קדמיים,אחורית,יש,יש,אין,אין,כניסה + הנעה,יש,מראות צד + פנים,הגה בלבד,אין,אין,יש,אין,יש,אין,אין,רגילים,אין,--,--,2X4,1,4,סדרה_3
19,ב.מ.וו,סדרה_3_קבריולה,,2007,2,4,--,7,--,--,--,2005,אחורית,אוטומטית - טיפטרוניק,6,בנזין,4,1995,170,6700,21.4,4250,9.8,226,--,--,13.7,--,--,--,--,--,--,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,458.0,178.2,138.4,276.0,210,--,1700,0,0,225/45R17,63,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים,0,1,יש,עור,יש  + זכרון,אין,--,קסנון,יש,יש,אין,אחוריים,אין,אין,יש,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"טלויזיה ומחשב דרך - 24,500 שקל",2X4,1,1,סדרה_3_קבריולה
20,ב.מ.וו,סדרה_3_קבריולה,,2011,2,4,--,7,--,--,--,2005,אחורית,אוטומטית - טיפטרוניק,6,בנזין,4,1995,170,6700,21.4,4250,9.8,226,--,--,13.7,--,--,--,--,--,13,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,458.0,178.2,138.4,276.0,210,--,1700,0,0,225/45R17,63,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים,0,1,יש,עור,יש  + זכרון,אין,--,קסנון,יש,יש,אין,אחוריים,אין,אין,יש,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"טלויזיה ומחשב דרך - 24,500 שקל",2X4,1,1,סדרה_3_קבריולה
21,ב.מ.וו,סדרה_3_קבריולה,,2010,2,4,--,7,--,--,--,2005,אחורית,אוטומטית - טיפטרוניק,6,בנזין,4,1995,170,6700,21.4,4250,9.8,226,--,--,13.7,--,--,--,--,--,13,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,458.0,178.2,138.4,276.0,210,--,1700,0,0,225/45R17,63,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים,0,1,יש,עור,יש  + זכרון,אין,--,קסנון,יש,יש,אין,אחוריים,אין,אין,יש,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"טלויזיה ומחשב דרך - 24,500 שקל",2X4,1,1,סדרה_3_קבריולה
22,ב.מ.וו,סדרה_3_קבריולה,,2007,2,4,--,7,--,--,--,2005,אחורית,אוטומטית - טיפטרוניק,6,טורבו בנזין,6,2979,306,5800,40.8,1300,5.7,250,--,--,10.9,--,--,--,--,--,--,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,0.0,0.0,0.0,0.0,--,--,--,0,0,--,--,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים,0,1,יש,עור,יש  + זכרון,אין,--,קסנון,יש,אין,אין,אחוריים,אין,אין,יש,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"טלויזיה ומחשב דרך - 24,500 שקל",2X4,1,1,סדרה_3_קבריולה
23,ב.מ.וו,סדרה_3_קבריולה,,2010,2,4,--,7,--,--,--,2005,אחורית,אוטומטית - טיפטרוניק,6,בנזין,6,2996,272,6700,32.6,2750,6.7,250,--,--,12.1,--,--,--,--,--,14,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,458.0,178.2,138.4,276.0,210,--,1795,0,0,225/45R17,63,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים,0,1,יש,עור,יש  + זכרון,אין,--,קסנון,יש,אין,אין,אחוריים,אין,אין,אין,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"טלויזיה ומחשב דרך - 24,500 שקל",2X4,1,1,סדרה_3_קבריולה
24,ב.מ.וו,סדרה_3_קבריולה,,2007,2,4,--,7,--,--,--,2005,אחורית,אוטומטית - טיפטרוניק,6,בנזין,6,2497,218,6100,27.5,2400,8.1,243,--,--,12.3,--,--,--,--,--,--,אין ציון,ABS + EBD + BAS,6,יש,יש,יש,0,0,--,0,0,0,--,--,--,--,--,--,--,--,--,--,458.0,178.2,138.4,276.0,210,--,1760,0,0,225/45R17,63,מקורית + שליטה מההגה,אין,אין,אין,--,אין,אין,--,--,אין,2,בקרת אקלים,0,1,יש,עור,יש  + זכרון,אין,--,קסנון,יש,אין,אין,אחוריים,אין,אין,יש,--,--,אין,אין,אין,אין,--,--,--,--,--,--,--,--,--,--,"טלויזיה ומחשב דרך - 24,500 שקל",2X4,1,1,סדרה_3_קבריולה
