,Make,Model,Year,Rating,Adult_Occupant,Child_Occupant,Vulnerable_Road_Users,Safety_Assist ,Video_Url
41,Chevrolet,SPARK,2009,4,81%,78%,43%,43%,https://www.youtube.com/embed/PcAmU3TTbOw
42,Chevrolet,CRUZE,2009,5,96%,84%,34%,71%,https://www.youtube.com/embed/dlVwDdavJWs
43,Toyota,VERSO,2010,5,89%,75%,69%,86%,https://www.youtube.com/embed/xDzg_YbOwts
44,Seat,EXEO?,2010,4,77%,81%,50%,57%,https://www.youtube.com/embed/yOEToKDaiqU
45,Nissan,CUBE?,2010,4,83%,64%,56%,84%,https://www.youtube.com/embed/I_Zd5zQzLho
46,Mercedes,GLK-CLASS?,2010,5,89%,76%,47%,86%,https://www.youtube.com/embed/O6po96DTHMw
47,Mercedes,E_CLASS,2010,5,86%,77%,59%,86%,https://www.youtube.com/embed/Onlic0DxXug
48,Kia,VENGA?,2010,5,89%,85%,64%,71%,https://www.youtube.com/embed/90dddxNGB40
49,Citroen,NEMO,2010,3,59%,74%,55%,29%,https://www.youtube.com/embed/87emMrIOyAk
50,Mazda,CX-7?,2010,4,76%,79%,43%,71%,https://www.youtube.com/embed/WliL7j0ZI1Q
51,BMW,5 SERIES,2010,5,95%,83%,78%,100%,https://www.youtube.com/embed/lgO8p2cszvY
52,Alfa-Romeo,GIULIETTA,2010,5,97%,85%,63%,86%,https://www.youtube.com/embed/HIPMMbf4SyA
53,Suzuki,SWIFT,2010,5,94%,82%,62%,71%,https://www.youtube.com/embed/6AC7VWkmo64
54,Hyundai,IX35,2010,5,90%,88%,54%,71%,https://www.youtube.com/embed/WMty3nqVnPk
55,Honda,CR-Z,2010,5,93%,80%,71%,86%,https://www.youtube.com/embed/ldWpXdjZSmc
56,Volkswagen,SHARAN?,2010,5,96%,80%,46%,71%,https://www.youtube.com/embed/m3IM59tmvyQ
57,Volkswagen,PASSAT,2010,5,91%,77%,54%,71%,https://www.youtube.com/embed/le94KiRSY8A
58,Volkswagen,AMAROK,2010,4,86%,64%,47%,57%,https://www.youtube.com/embed/fUmX4a-E2Qo
59,Seat,ALHAMBRA,2010,5,96%,80%,46%,71%,https://www.youtube.com/embed/m3IM59tmvyQ
60,Opel,MERIVA,2010,5,89%,77%,55%,86%,https://www.youtube.com/embed/FRhPzzfeuG0
61,Nissan,MICRA,2010,4,84%,79%,58%,57%,https://www.youtube.com/embed/c7BGXD9lUV4
62,BMW,COUNTRYMAN?,2010,5,84%,83%,63%,71%,https://www.youtube.com/embed/wsg6Ub6HnaA
63,Kia,SPORTAGE,2010,5,93%,86%,49%,86%,https://www.youtube.com/embed/vjqFSuwqICI
64,Jaguar,XF,2010,4,78%,65%,43%,71%,https://www.youtube.com/embed/sNh6g7HlTBs
65,Ford,GRAND-C-MAX?,2010,5,96%,81%,50%,71%,https://www.youtube.com/embed/u13-nDN2FCs
66,Ford,C-MAX?,2010,5,92%,83%,50%,71%,https://www.youtube.com/embed/RaBOPXppVt4
67,Citroen,C4,2010,5,90%,85%,43%,97%,https://www.youtube.com/embed/u47tyYZu3TQ
68,Audi,A1,2010,5,90%,79%,49%,86%,https://www.youtube.com/embed/SOEuP95YxR4
69,Skoda,CITIGO,2011,5,89%,80%,46%,86%,https://www.youtube.com/embed/xYZ2ALnQqO4
70,Seat,MII,2011,5,89%,80%,46%,86%,https://www.youtube.com/embed/xYZ2ALnQqO4
71,Peugeot,ION?,2011,4,73%,78%,48%,86%,https://www.youtube.com/embed/nJiAyzVmwAk
72,Nissan,JUKE,2011,5,87%,81%,41%,71%,https://www.youtube.com/embed/Zlzv4ZSeg4w
73,Mitsubishi,I-MIEV?,2011,4,73%,78%,48%,86%,https://www.youtube.com/embed/nJiAyzVmwAk
74,Mitsubishi,ASX,2011,5,86%,78%,60%,71%,https://www.youtube.com/embed/1VzKCJDN2ts
75,Hyundai,IX20,2011,5,89%,85%,64%,71%,https://www.youtube.com/embed/90dddxNGB40
76,Dacia,DUSTER,2011,3,74%,78%,28%,29%,https://www.youtube.com/embed/VT9SIhjOeew
77,Citroen,C-ZERO,2011,4,73%,78%,48%,86%,https://www.youtube.com/embed/nJiAyzVmwAk
78,Peugeot,508,2011,5,90%,87%,41%,97%,https://www.youtube.com/embed/adpisB5RsCs
79,Lexus,CT200H,2011,5,94%,84%,55%,86%,https://www.youtube.com/embed/TinmjpskuwU
80,Citroen,DS4,2011,5,90%,80%,43%,97%,https://www.youtube.com/embed/72lX1BeUDFY
81,Volkswagen,JETTA,2011,5,94%,86%,56%,71%,https://www.youtube.com/embed/3lIKxSDDdx0
82,Volkswagen,GOLF.1,2011,5,96%,86%,53%,71%,https://www.youtube.com/embed/BcHKBBGW9kA
83,Opel,AMPERA,2011,5,85%,78%,41%,86%,https://www.youtube.com/embed/gnyXYRkjiV0
84,Kia,PICANTO,2011,4,86%,83%,47%,43%,https://www.youtube.com/embed/J_ePp-xVVws
85,Hyundai,I40,2011,5,92%,86%,43%,86%,https://www.youtube.com/embed/K7fuD3_iBVg
86,Citroen,DS5,2011,5,89%,83%,40%,97%,https://www.youtube.com/embed/w2deVmyVbwE
87,Chevrolet,VOLT?,2011,5,85%,78%,41%,86%,https://www.youtube.com/embed/gnyXYRkjiV0
88,Chevrolet,ORLANDO,2011,5,95%,79%,49%,71%,https://www.youtube.com/embed/I7lDrnt2aJk
89,Chevrolet,AVEO,2011,5,95%,87%,54%,93%,https://www.youtube.com/embed/OHyKcSGoVwY
90,BMW,X3,2011,5,88%,83%,53%,71%,https://www.youtube.com/embed/qjErFobSMnw
91,Audi,A6,2011,5,91%,83%,41%,86%,https://www.youtube.com/embed/N1EfH4_43D8
92,Toyota,YARIS,2011,5,89%,81%,60%,86%,https://www.youtube.com/embed/Qx58sQSFzSk
93,Opel,ZAFIRA TOURER,2011,5,94%,83%,53%,86%,https://www.youtube.com/embed/mxRweNL8IiI
94,Opel,ASTRA,2011,5,91%,79%,50%,71%,https://www.youtube.com/embed/RVmvjaogHig
95,Lancia,THEMA?,2011,5,83%,77%,59%,71%,https://www.youtube.com/embed/wLudmMCHZ9w
96,Hyundai,VELOSTER,2011,5,96%,89%,49%,71%,https://www.youtube.com/embed/cx68v2_ntJU
97,Fiat,FREEMONT?,2011,5,83%,82%,50%,71%,https://www.youtube.com/embed/zcq-qMk_aPc
98,Lancia,VOYAGER?,2011,4,79%,67%,47%,71%,https://www.youtube.com/embed/OsnBLbyOh1s
99,Chevrolet,CAPTIVA,2011,5,88%,82%,48%,71%,https://www.youtube.com/embed/Th1wb_I_wJU
100,Audi,Q3,2011,5,94%,85%,52%,86%,https://www.youtube.com/embed/W7vAiAvOrJk
101,Volkswagen,UP!,2011,5,89%,80%,46%,86%,https://www.youtube.com/embed/_YhfqnoDlW4
102,Volkswagen,BEETLE,2011,5,92%,90%,53%,86%,https://www.youtube.com/embed/P3PbgjwWQjA
103,Seat,IBIZA,2011,5,82%,77%,59%,71%,https://www.youtube.com/embed/QM9EM6755H0
104,Renault,FLUENCE ZE,2011,4,72%,83%,37%,84%,https://www.youtube.com/embed/sfx41Fs3Y_A
105,MG,6?,2011,4,73%,71%,42%,71%,https://www.youtube.com/embed/tRIZRKU29IE
106,Mercedes,C-CLASS COUPE,2011,5,90%,79%,57%,86%,https://www.youtube.com/embed/nHPF2rGxJ0s
107,Mercedes,B-CLASS,2011,5,97%,81%,56%,86%,https://www.youtube.com/embed/azAOqQ85jno
108,Land-Rover,ROVER EVOQUE,2011,5,86%,75%,41%,86%,https://www.youtube.com/embed/ltyzg7F4Z7Q
109,Kia,RIO,2011,5,92%,84%,46%,86%,https://www.youtube.com/embed/D_WrzoB3oGc
110,Jeep,GRAND-CHEROKEE,2011,4,81%,69%,45%,71%,https://www.youtube.com/embed/EGYoM2-WTFc
111,Jaguar,XF,2011,4,79%,73%,62%,71%,https://www.youtube.com/embed/x9zHfnqd38o
112,Fiat,PANDA,2011,4,82%,63%,49%,43%,https://www.youtube.com/embed/egPPoPj0kDY
113,Chevrolet,MALIBU,2011,5,94%,83%,57%,71%,https://www.youtube.com/embed/w04t51TvmcY
114,Volvo,V60,2012,5,94%,82%,64%,100%,https://www.youtube.com/embed/ZXLEx8u3wDs
115,Nissan,LEAF,2012,5,89%,83%,65%,84%,https://www.youtube.com/embed/2USWcvor9fw
116,Ford,FOCUS,2012,5,92%,82%,72%,71%,https://www.youtube.com/embed/-_nVsoZToWc
117,Mercedes,M-CLASS,2012,5,96%,75%,60%,86%,https://www.youtube.com/embed/R4E9zLgdsuU
118,Ford,RANGER,2012,5,96%,86%,81%,71%,https://www.youtube.com/embed/-Kvtyg6UGss
119,Subaru,XV,2012,5,86%,90%,64%,86%,https://www.youtube.com/embed/dq8fl2b-h0w
120,Jeep,COMPASS,2012,2,61%,76%,23%,43%,https://www.youtube.com/embed/uOSdadWa4_4
121,Honda,CIVIC,2012,5,94%,83%,69%,86%,https://www.youtube.com/embed/HYUOnYsoXSY
122,BMW,X1,2012,5,87%,86%,64%,71%,https://www.youtube.com/embed/ziXW49ZDJEE
123,BMW,1 SERIES,2012,5,91%,83%,63%,86%,https://www.youtube.com/embed/ZxmW-REYNfw
124,Peugeot,208,2012,5,88%,78%,61%,83%,https://www.youtube.com/embed/j8xTzEbAHQE
125,Mazda,CX-5,2012,5,94%,87%,64%,86%,https://www.youtube.com/embed/BeAqCuLeld0
126,Hyundai,I30,2012,5,90%,90%,67%,86%,https://www.youtube.com/embed/CF49_vGQJRw
127,BMW,3 SERIES,2012,5,95%,84%,78%,86%,https://www.youtube.com/embed/uiStViDF8Gc
128,Volvo,V40,2012,5,98%,75%,88%,100%,https://www.youtube.com/embed/PivsJODHeks
129,Renault,CLIO,2012,5,88%,89%,66%,99%,https://www.youtube.com/embed/ugrp6FS4tPU
130,Kia,CEE'D?,2012,5,89%,88%,61%,86%,https://www.youtube.com/embed/_XVMU_Y2NOc
131,Isuzu,D-MAX,2012,4,83%,67%,51%,71%,https://www.youtube.com/embed/7vqZfw0CfqE
132,Ford,B-MAX?,2012,5,92%,84%,67%,71%,https://www.youtube.com/embed/YB2iM2BUsSE
133,Audi,A3,2012,5,95%,87%,74%,86%,https://www.youtube.com/embed/LrmYJxrNnqc
134,Volkswagen,GOLF,2012,5,94%,89%,65%,71%,https://www.youtube.com/embed/bc5vPX5WhDg
135,Volvo,V60 PLUG-IN HYBRID,2012,5,93%,83%,65%,100%,https://www.youtube.com/embed/FQJ-v8gUMQ0
136,Subaru,F0RESTER,2012,5,91%,91%,73%,86%,https://www.youtube.com/embed/AiwE0RYly58
137,Skoda,RAPID,2012,5,94%,80%,69%,71%,https://www.youtube.com/embed/0n3lXY2cdkY
138,Seat,TOLEDO,2012,5,94%,80%,69%,71%,https://www.youtube.com/embed/0n3lXY2cdkY
139,Seat,LEON,2012,5,94%,92%,70%,71%,https://www.youtube.com/embed/Oh6Cx-XBRy4
140,Opel,MOKKA,2012,5,96%,90%,67%,100%,https://www.youtube.com/embed/re5IiaZSnRM
141,Mitsubishi,OUTLANDER?,2012,5,94%,83%,64%,100%,https://www.youtube.com/embed/AwO7umk7n3o
142,Mercedes,A-CLASS,2012,5,93%,81%,67%,86%,https://www.youtube.com/embed/VMYsmDd04KA
143,Land-Rover,ROVER RANGE ROVER	,2012,5,91%,84%,63%,86%,https://www.youtube.com/embed/5XHQNjeIi2w
144,Hyundai,SANTA FE,2012,5,96%,89%,71%,86%,https://www.youtube.com/embed/9fUzOHRFMlA
145,Ford,KUGA,2012,5,94%,86%,70%,100%,https://www.youtube.com/embed/arImbog8rww
146,Ford,FIESTA,2012,5,91%,86%,65%,71%,https://www.youtube.com/embed/tjEuow7I3bo
147,Fiat,500,2012,5,94%,78%,65%,71%,https://www.youtube.com/embed/Jhs4QHBN2Ug
148,Dacia,LODGY,2012,3,72%,77%,44%,29%,https://www.youtube.com/embed/yIEjWifBwo8
149,Toyota,AYGO,2012,3,68%,73%,53%,71%,https://www.youtube.com/embed/eX8kqvUNnJ4
150,Renault,TRAFIC,2012,2,58%,79%,28%,14%,https://www.youtube.com/embed/F3iiuQecZWA
151,Peugeot,EXPERT?,2012,3,59%,86%,26%,26%,https://www.youtube.com/embed/BnKUXpq86s4
152,Peugeot,107,2012,3,68%,73%,53%,71%,https://www.youtube.com/embed/eX8kqvUNnJ4
153,Hyundai,H-1,2012,3,55%,75%,34%,43%,https://www.youtube.com/embed/PiexLfwASnU
154,Ford,TRANSIT CUSTOM,2012,5,84%,90%,48%,71%,https://www.youtube.com/embed/16ul9X7UHgY
155,Fiat,SCUDO?,2012,3,59%,86%,26%,26%,https://www.youtube.com/embed/BnKUXpq86s4
156,Citroen,JUMPY,2012,3,59%,86%,26%,26%,https://www.youtube.com/embed/BnKUXpq86s4
157,Citroen,C1,2012,3,68%,73%,53%,71%,https://www.youtube.com/embed/eX8kqvUNnJ4
158,Toyota,RAV4,2013,5,89%,82%,66%,66%,https://www.youtube.com/embed/uzGgrO-5wjw
159,Toyota,AURIS,2013,5,92%,84%,68%,66%,https://www.youtube.com/embed/AMTqwJKBAFg
160,Skoda,OCTAVIA,2013,5,93%,86%,66%,66%,https://www.youtube.com/embed/uayRqZIJyOs
161,Renault,ZOE,2013,5,89%,80%,66%,85%,https://www.youtube.com/embed/LpIEiG5a3yM
162,Mercedes,CITAN-KOMBI,2013,4,79%,81%,56%,70%,https://www.youtube.com/embed/ZG8eVt6kOiA
163,Renault,CAPTUR,2013,5,88%,79%,61%,81%,https://www.youtube.com/embed/LRzbOSF49eM
164,Nissan,EVALIA?,2013,3,68%,81%,67%,55%,https://www.youtube.com/embed/Xmj7ULLo_IA
165,Dacia,SANDERO,2013,4,80%,79%,57%,55%,https://www.youtube.com/embed/5Asusu4cXcE
166,Chevrolet,TRAX,2013,5,94%,85%,64%,81%,https://www.youtube.com/embed/BA9qw6bo1to
167,Kia,CARENS,2013,5,94%,76%,64%,81%,https://www.youtube.com/embed/cTPWykpKxmQ
168,Honda,CR-V,2013,5,93%,74%,68%,66%,https://www.youtube.com/embed/LwyQp29bB3U
169,Citroen,C4 PICASSO,2013,5,86%,88%,68%,81%,https://www.youtube.com/embed/xc81A3LdcLg
170,Citroen,SPACETOURER,2013,5,86%,88%,68%,81%,https://www.youtube.com/embed/xc81A3LdcLg
171,Toyota,COROLLA,2013,5,94%,82%,67%,66%,https://www.youtube.com/embed/8Ib9LEwK8z0
172,Opel,ADAM,2013,4,87%,72%,65%,81%,https://www.youtube.com/embed/Ds34Xlzxli4
173,Mitsubishi,SPACE STAR,2013,4,90%,72%,73%,55%,https://www.youtube.com/embed/iO1P-DFIfps
174,Mitsubishi,MIRAGE?,2013,4,90%,72%,73%,55%,https://www.youtube.com/embed/iO1P-DFIfps
175,Mazda,6,2013,5,92%,77%,66%,81%,https://www.youtube.com/embed/DxdXGNGW0PQ
176,Lexus,IS,2013,5,91%,85%,80%,66%,https://www.youtube.com/embed/2FbskRzNKaU
177,Suzuki,SX4,2013,5,92%,80%,72%,81%,https://www.youtube.com/embed/XCYywh5XV98
178,Peugeot,2008,2013,5,88%,77%,72%,70%,
179,Mercedes,CLA,2013,5,91%,75%,74%,81%,https://www.youtube.com/embed/w7GuPk7u4Uk
180,Jeep,CHEROKEE,2013,5,92%,79%,67%,74%,https://www.youtube.com/embed/VCgfb0dJM14
181,Volkswagen,T5,2013,4,79%,74%,32%,57%,https://www.youtube.com/embed/IndFKiLHD30
182,Peugeot,308,2013,5,92%,79%,64%,81%,https://www.youtube.com/embed/PXVssblYSb4
183,Nissan,NOTE,2013,4,86%,82%,58%,70%,https://www.youtube.com/embed/D3ELCiGr1k4
184,Mitsubishi,OUTLANDER PHEV,2013,5,88%,84%,64%,81%,https://www.youtube.com/embed/XnlvF4SZGvk
185,Mazda,3,2013,5,93%,86%,65%,81%,https://www.youtube.com/embed/Fgtp1JuJlVU
186,Maserati,GHIBLI,2013,5,95%,79%,74%,81%,https://www.youtube.com/embed/zq8Ljz380wM
187,Nissan,Q50?,2013,5,86%,85%,67%,81%,https://www.youtube.com/embed/WqPnJcfAYRs
188,Ford,TOURNEO CONNECT,2013,5,94%,85%,62%,70%,https://www.youtube.com/embed/JapkTv9xW1U
189,Ford,ECOSPORT?,2013,4,93%,77%,58%,55%,https://www.youtube.com/embed/3eUusPP5zJM
190,BMW,I3,2013,4,86%,81%,57%,55%,https://www.youtube.com/embed/2greh-OyBOU
191,Peugeot,NEW PARTNER,2014,3,56%,74%,63%,48%,https://www.youtube.com/embed/94z9XCOPV-0
192,Peugeot,301,2014,3,71%,75%,54%,33%,https://www.youtube.com/embed/4G5Ji5kpJfU
193,Peugeot,108,2014,4,80%,80%,62%,56%,https://www.youtube.com/embed/87boTZGKLT8
194,Citroen,C1,2014,4,80%,80%,62%,56%,https://www.youtube.com/embed/87boTZGKLT8
195,Nissan,QASHQAI,2014,5,88%,83%,69%,79%,https://www.youtube.com/embed/s39wGFwNKhY
196,Mercedes,C-CLASS,2014,5,92%,84%,77%,70%,https://www.youtube.com/embed/bScbT_bo_WU
197,Hyundai,I10,2014,4,79%,80%,71%,56%,https://www.youtube.com/embed/9ydwNWD140k
198,Volkswagen,GOLF SPORTSVAN,2014,5,87%,85%,62%,73%,https://www.youtube.com/embed/Bl8DPIxoo3Y
199,Renault,MEGANE,2014,3,83%,78%,60%,48%,https://www.youtube.com/embed/SotLkx0gz7A
200,MG,3,2014,3,69%,71%,59%,38%,https://www.youtube.com/embed/af4tFF92R-I
201,Ford,TOURNEO-COURIER?,2014,4,84%,84%,74%,56%,https://www.youtube.com/embed/5yFeUUGRy4U
202,Citroen,C-ELYSEE,2014,3,71%,75%,54%,33%,https://www.youtube.com/embed/4G5Ji5kpJfU
203,Toyota,AYGO,2014,4,80%,80%,62%,56%,https://www.youtube.com/embed/87boTZGKLT8
204,Renault,TWINGO,2014,4,78%,81%,68%,56%,https://www.youtube.com/embed/kYAhRmziL4g
205,Nissan,E-NV200,2014,3,75%,80%,60%,38%,https://www.youtube.com/embed/huAqXQn_Qp0
206,Mercedes,GLA,2014,5,96%,88%,67%,70%,https://www.youtube.com/embed/7Mxj2aj_X4s
207,Citroen,BERLINGO,2014,3,56%,74%,63%,48%,https://www.youtube.com/embed/94z9XCOPV-0
208,Nissan,X TRAIL,2014,5,86%,83%,75%,75%,https://www.youtube.com/embed/yHETLFdB2nA
209,Mercedes,V-CLASS,2014,5,93%,87%,67%,85%,https://www.youtube.com/embed/pFui3ZQQD88
210,Citroen,C4 CACTUS,2014,4,82%,79%,80%,56%,https://www.youtube.com/embed/Ef6eZqaRJ3o
211,Tesla,MODEL-S,2014,5,82%,77%,66%,71%,https://www.youtube.com/embed/7uhhYKJWEBw
212,Suzuki,CELERIO,2014,3,61%,74%,68%,38%,https://www.youtube.com/embed/k0AwHKJwz9Q
213,Skoda,FABIA,2014,5,81%,81%,69%,69%,https://www.youtube.com/embed/fP7hq-_o5-s
214,Nissan,PULSAR?,2014,5,84%,81%,75%,68%,https://www.youtube.com/embed/pzw73e2OHZg
215,Kia,SOUL,2014,4,84%,82%,59%,56%,https://www.youtube.com/embed/nu22PPjgOH8
216,BMW,2-SERIES-ACTIVE-TOURER,2014,5,84%,85%,60%,70%,https://www.youtube.com/embed/n_h_EXPX_mo
217,Volkswagen,PASSAT,2014,5,85%,87%,66%,76%,https://www.youtube.com/embed/3vuoBJQiHFE
218,Subaru,OUTBACK,2014,5,85%,87%,70%,73%,https://www.youtube.com/embed/2fjBXicoyJQ
219,Smart,FORTWO,2014,4,82%,80%,56%,56%,https://www.youtube.com/embed/iXUBU0eieLc
220,Smart,FORFOUR,2014,4,78%,77%,65%,56%,https://www.youtube.com/embed/dh8KcHhixYM
221,Porsche,MACAN,2014,5,88%,87%,60%,66%,https://www.youtube.com/embed/2CC2TIqtWCE
222,Opel,CORSA,2014,4,79%,77%,71%,56%,https://www.youtube.com/embed/kXeyJklwAY4
223,BMW,COOPER?,2014,4,79%,73%,66%,56%,https://www.youtube.com/embed/nYw8Ddz1_nc
224,Lexus,NX,2014,5,82%,82%,69%,71%,https://www.youtube.com/embed/qs8LqCYXpO8
225,Land-Rover,DISCOVERY SPORT,2014,5,93%,83%,69%,82%,https://www.youtube.com/embed/LKuLM1sldMY
226,Kia,SORENTO,2014,5,90%,83%,67%,71%,https://www.youtube.com/embed/bu7D2Vzg3ic
227,Jeep,RENEGADE,2014,5,87%,85%,65%,74%,https://www.youtube.com/embed/mkUYyn2Lde0
228,Ford,MONDEO,2014,5,86%,82%,66%,66%,https://www.youtube.com/embed/q0bP5GoMMwU
229,Dacia,LOGAN,2014,3,57%,75%,55%,38%,https://www.youtube.com/embed/d_p9tFPDyrk
230,Audi,A3,2014,5,82%,78%,66%,68%,https://www.youtube.com/embed/4qRk-yLOotw
231,Renault,TRAFIC,2015,3,52%,91%,53%,57%,https://www.youtube.com/embed/175DwsXW4cc
232,Opel,VIVARO,2015,3,52%,91%,53%,57%,https://www.youtube.com/embed/175DwsXW4cc
233,Audi,TT,2015,4,81%,68%,82%,64%,https://www.youtube.com/embed/_qm3t2NarWg
234,Suzuki,VITARA,2015,5,89%,85%,76%,75%,https://www.youtube.com/embed/WW9BwW5U4n4
235,Renault,ESPACE,2015,5,82%,89%,70%,80%,https://www.youtube.com/embed/5V25aABfHkY
236,Mazda,2,2015,4,86%,78%,84%,64%,https://www.youtube.com/embed/uE0MKOa0VTU
237,Fiat,500X,2015,4,86%,85%,74%,64%,https://www.youtube.com/embed/Wf3ni-qIzxY
238,Skoda,SUPERB,2015,5,86%,86%,71%,76%,https://www.youtube.com/embed/5iM_zsw278Y
239,Hyundai,I20,2015,4,85%,73%,79%,64%,https://www.youtube.com/embed/MBUPwFdKOQ0
240,Fiat,PANDA-CROSS?,2015,3,70%,77%,50%,46%,https://www.youtube.com/embed/ynlKeHgLawg
241,Volkswagen,TOURAN,2015,5,88%,89%,71%,76%,https://www.youtube.com/embed/YVQtsk7j0K4
242,Volvo,XC90,2015,5,97%,87%,72%,94%,https://www.youtube.com/embed/TEyL3N0aIdk
243,Toyota,AVENSIS,2015,5,93%,85%,78%,81%,https://www.youtube.com/embed/tVeNGsxpLMc
244,Renault,KADJAR,2015,5,89%,81%,74%,71%,https://www.youtube.com/embed/xUWP_Wd_xqo
245,Mitsubishi,L200,2015,4,81%,84%,76%,64%,https://www.youtube.com/embed/j-eF4n2oyQ4
246,Mazda,CX-3,2015,4,85%,79%,84%,64%,https://www.youtube.com/embed/mRyR6xghDYw
247,Ford,S-MAX,2015,5,87%,87%,79%,71%,https://www.youtube.com/embed/8_mA9ZdGW1s
248,Ford,GALAXY,2015,5,87%,87%,79%,71%,https://www.youtube.com/embed/8_mA9ZdGW1s
249,Audi,Q7,2015,5,94%,88%,70%,76%,https://www.youtube.com/embed/tmKF0fA_r1s
250,Opel,KARL?,2015,4,74%,72%,68%,64%,https://www.youtube.com/embed/GfciJHSYYQo
251,Mazda,MX-5,2015,4,84%,80%,93%,64%,https://www.youtube.com/embed/UIjhKoISJyM
252,Hyundai,TUCSON,2015,5,86%,85%,71%,71%,https://www.youtube.com/embed/jHuckiKSWBU
253,Volkswagen,CADDY,2015,4,84%,78%,58%,68%,https://www.youtube.com/embed/XcBp9xpyL5o
